fold,dataset,model,strategy,pre_corr,corr_th,measure,n_features,acc_train,gps_train,acc_test,gps_test,complexity_all_kDN,complexity_all_N1,complexity_all_Hostility,complexity_sel_kDN,complexity_sel_N1,complexity_sel_Hostility
2,pollution_NoPreFilter,SVM,COMPLEXITY_corr,False,0.7,kDN,15,0.875,0.8739999999999999,0.8333333333333334,0.8275862068965518,,,,0.3541666666666667,0.3239583333333333,0.2708333333333333
2,pollution_NoPreFilter,KNN,COMPLEXITY_corr,False,0.75,kDN,15,0.8333333333333334,0.8333333333333333,0.6666666666666666,0.6521739130434783,,,,0.3541666666666667,0.3239583333333333,0.2708333333333333
2,pollution_NoPreFilter,SVM,COMPLEXITY_corr,False,0.75,kDN,15,0.875,0.8739999999999999,0.8333333333333334,0.8275862068965518,,,,0.3541666666666667,0.3239583333333333,0.2708333333333333
2,pollution_NoPreFilter,KNN,COMPLEXITY_corr,False,0.8,kDN,15,0.8333333333333334,0.8333333333333333,0.6666666666666666,0.6521739130434783,,,,0.3541666666666667,0.3239583333333333,0.2708333333333333
2,pollution_NoPreFilter,SVM,COMPLEXITY_corr,False,0.8,kDN,15,0.875,0.8739999999999999,0.8333333333333334,0.8275862068965518,,,,0.3541666666666667,0.3239583333333333,0.2708333333333333
2,pollution_NoPreFilter,KNN,COMPLEXITY_corr,False,0.55,N1,15,0.8333333333333334,0.8333333333333333,0.6666666666666666,0.6521739130434783,,,,0.3541666666666667,0.3239583333333333,0.2708333333333333
2,pollution_NoPreFilter,SVM,COMPLEXITY_corr,False,0.55,N1,15,0.875,0.8739999999999999,0.8333333333333334,0.8275862068965518,,,,0.3541666666666667,0.3239583333333333,0.2708333333333333
2,pollution_NoPreFilter,KNN,COMPLEXITY_corr,False,0.6,N1,15,0.8333333333333334,0.8333333333333333,0.6666666666666666,0.6521739130434783,,,,0.3541666666666667,0.3239583333333333,0.2708333333333333
2,pollution_NoPreFilter,SVM,COMPLEXITY_corr,False,0.6,N1,15,0.875,0.8739999999999999,0.8333333333333334,0.8275862068965518,,,,0.3541666666666667,0.3239583333333333,0.2708333333333333
2,pollution_NoPreFilter,KNN,COMPLEXITY_corr,False,0.65,N1,15,0.8333333333333334,0.8333333333333333,0.6666666666666666,0.6521739130434783,,,,0.3541666666666667,0.3239583333333333,0.2708333333333333
2,pollution_NoPreFilter,SVM,COMPLEXITY_corr,False,0.65,N1,15,0.875,0.8739999999999999,0.8333333333333334,0.8275862068965518,,,,0.3541666666666667,0.3239583333333333,0.2708333333333333
2,pollution_NoPreFilter,KNN,COMPLEXITY_corr,False,0.7,N1,15,0.8333333333333334,0.8333333333333333,0.6666666666666666,0.6521739130434783,,,,0.3541666666666667,0.3239583333333333,0.2708333333333333
2,pollution_NoPreFilter,SVM,COMPLEXITY_corr,False,0.7,N1,15,0.875,0.8739999999999999,0.8333333333333334,0.8275862068965518,,,,0.3541666666666667,0.3239583333333333,0.2708333333333333
2,pollution_NoPreFilter,KNN,COMPLEXITY_corr,False,0.75,N1,15,0.8333333333333334,0.8333333333333333,0.6666666666666666,0.6521739130434783,,,,0.3541666666666667,0.3239583333333333,0.2708333333333333
2,pollution_NoPreFilter,SVM,COMPLEXITY_corr,False,0.75,N1,15,0.875,0.8739999999999999,0.8333333333333334,0.8275862068965518,,,,0.3541666666666667,0.3239583333333333,0.2708333333333333
2,pollution_NoPreFilter,KNN,COMPLEXITY_corr,False,0.8,N1,15,0.8333333333333334,0.8333333333333333,0.6666666666666666,0.6521739130434783,,,,0.3541666666666667,0.3239583333333333,0.2708333333333333
2,pollution_NoPreFilter,SVM,COMPLEXITY_corr,False,0.8,N1,15,0.875,0.8739999999999999,0.8333333333333334,0.8275862068965518,,,,0.3541666666666667,0.3239583333333333,0.2708333333333333
2,pollution_NoPreFilter,KNN,COMPLEXITY_corr,False,0.55,Hostility,14,0.7916666666666666,0.7912087912087913,0.75,0.7476635514018692,,,,0.37083333333333335,0.39375,0.25
2,pollution_NoPreFilter,SVM,COMPLEXITY_corr,False,0.55,Hostility,14,0.875,0.874751491053678,1.0,1.0,,,,0.37083333333333335,0.39375,0.25
2,pollution_NoPreFilter,KNN,COMPLEXITY_corr,False,0.6,Hostility,15,0.8333333333333334,0.8333333333333333,0.6666666666666666,0.6521739130434783,,,,0.3541666666666667,0.3239583333333333,0.2708333333333333
2,pollution_NoPreFilter,SVM,COMPLEXITY_corr,False,0.6,Hostility,15,0.875,0.8739999999999999,0.8333333333333334,0.8275862068965518,,,,0.3541666666666667,0.3239583333333333,0.2708333333333333
2,pollution_NoPreFilter,KNN,COMPLEXITY_corr,False,0.65,Hostility,15,0.8333333333333334,0.8333333333333333,0.6666666666666666,0.6521739130434783,,,,0.3541666666666667,0.3239583333333333,0.2708333333333333
2,pollution_NoPreFilter,SVM,COMPLEXITY_corr,False,0.65,Hostility,15,0.875,0.8739999999999999,0.8333333333333334,0.8275862068965518,,,,0.3541666666666667,0.3239583333333333,0.2708333333333333
2,pollution_NoPreFilter,KNN,COMPLEXITY_corr,False,0.7,Hostility,15,0.8333333333333334,0.8333333333333333,0.6666666666666666,0.6521739130434783,,,,0.3541666666666667,0.3239583333333333,0.2708333333333333
2,pollution_NoPreFilter,SVM,COMPLEXITY_corr,False,0.7,Hostility,15,0.875,0.8739999999999999,0.8333333333333334,0.8275862068965518,,,,0.3541666666666667,0.3239583333333333,0.2708333333333333
2,pollution_NoPreFilter,KNN,COMPLEXITY_corr,False,0.75,Hostility,15,0.8333333333333334,0.8333333333333333,0.6666666666666666,0.6521739130434783,,,,0.3541666666666667,0.3239583333333333,0.2708333333333333
2,pollution_NoPreFilter,SVM,COMPLEXITY_corr,False,0.75,Hostility,15,0.875,0.8739999999999999,0.8333333333333334,0.8275862068965518,,,,0.3541666666666667,0.3239583333333333,0.2708333333333333
2,pollution_NoPreFilter,KNN,COMPLEXITY_corr,False,0.8,Hostility,15,0.8333333333333334,0.8333333333333333,0.6666666666666666,0.6521739130434783,,,,0.3541666666666667,0.3239583333333333,0.2708333333333333
2,pollution_NoPreFilter,SVM,COMPLEXITY_corr,False,0.8,Hostility,15,0.875,0.8739999999999999,0.8333333333333334,0.8275862068965518,,,,0.3541666666666667,0.3239583333333333,0.2708333333333333
3,pollution_NoPreFilter,KNN,NONE,False,,NONE,15,0.8333333333333334,0.8319327731092437,0.75,0.7476635514018692,0.2916666666666667,0.1972222222222222,0.25,,,
3,pollution_NoPreFilter,SVM,NONE,False,,NONE,15,0.9166666666666666,0.9166666666666666,0.6666666666666666,0.6666666666666666,0.2916666666666667,0.1972222222222222,0.25,,,
3,pollution_NoPreFilter,KNN,COMPLEXITY_corr,False,0.55,kDN,14,0.8125,0.8123997862105827,0.6666666666666666,0.6521739130434783,,,,0.2833333333333333,0.253125,0.3125
3,pollution_NoPreFilter,SVM,COMPLEXITY_corr,False,0.55,kDN,14,0.9166666666666666,0.9166666666666666,0.6666666666666666,0.6666666666666666,,,,0.2833333333333333,0.253125,0.3125
3,pollution_NoPreFilter,KNN,COMPLEXITY_corr,False,0.6,kDN,14,0.8125,0.8123997862105827,0.6666666666666666,0.6521739130434783,,,,0.2833333333333333,0.253125,0.3125
3,pollution_NoPreFilter,SVM,COMPLEXITY_corr,False,0.6,kDN,14,0.9166666666666666,0.9166666666666666,0.6666666666666666,0.6666666666666666,,,,0.2833333333333333,0.253125,0.3125
3,pollution_NoPreFilter,KNN,COMPLEXITY_corr,False,0.65,kDN,15,0.8333333333333334,0.8319327731092437,0.75,0.7476635514018692,,,,0.2916666666666667,0.1972222222222222,0.25
3,pollution_NoPreFilter,SVM,COMPLEXITY_corr,False,0.65,kDN,15,0.9166666666666666,0.9166666666666666,0.6666666666666666,0.6666666666666666,,,,0.2916666666666667,0.1972222222222222,0.25
3,pollution_NoPreFilter,KNN,COMPLEXITY_corr,False,0.7,kDN,15,0.8333333333333334,0.8319327731092437,0.75,0.7476635514018692,,,,0.2916666666666667,0.1972222222222222,0.25
3,pollution_NoPreFilter,SVM,COMPLEXITY_corr,False,0.7,kDN,15,0.9166666666666666,0.9166666666666666,0.6666666666666666,0.6666666666666666,,,,0.2916666666666667,0.1972222222222222,0.25
3,pollution_NoPreFilter,KNN,COMPLEXITY_corr,False,0.75,kDN,15,0.8333333333333334,0.8319327731092437,0.75,0.7476635514018692,,,,0.2916666666666667,0.1972222222222222,0.25
3,pollution_NoPreFilter,SVM,COMPLEXITY_corr,False,0.75,kDN,15,0.9166666666666666,0.9166666666666666,0.6666666666666666,0.6666666666666666,,,,0.2916666666666667,0.1972222222222222,0.25
3,pollution_NoPreFilter,KNN,COMPLEXITY_corr,False,0.8,kDN,15,0.8333333333333334,0.8319327731092437,0.75,0.7476635514018692,,,,0.2916666666666667,0.1972222222222222,0.25
3,pollution_NoPreFilter,SVM,COMPLEXITY_corr,False,0.8,kDN,15,0.9166666666666666,0.9166666666666666,0.6666666666666666,0.6666666666666666,,,,0.2916666666666667,0.1972222222222222,0.25
3,pollution_NoPreFilter,KNN,COMPLEXITY_corr,False,0.55,N1,15,0.8333333333333334,0.8319327731092437,0.75,0.7476635514018692,,,,0.2916666666666667,0.1972222222222222,0.25
3,pollution_NoPreFilter,SVM,COMPLEXITY_corr,False,0.55,N1,15,0.9166666666666666,0.9166666666666666,0.6666666666666666,0.6666666666666666,,,,0.2916666666666667,0.1972222222222222,0.25
3,pollution_NoPreFilter,KNN,COMPLEXITY_corr,False,0.6,N1,15,0.8333333333333334,0.8319327731092437,0.75,0.7476635514018692,,,,0.2916666666666667,0.1972222222222222,0.25
3,pollution_NoPreFilter,SVM,COMPLEXITY_corr,False,0.6,N1,15,0.9166666666666666,0.9166666666666666,0.6666666666666666,0.6666666666666666,,,,0.2916666666666667,0.1972222222222222,0.25
3,pollution_NoPreFilter,KNN,COMPLEXITY_corr,False,0.65,N1,15,0.8333333333333334,0.8319327731092437,0.75,0.7476635514018692,,,,0.2916666666666667,0.1972222222222222,0.25
3,pollution_NoPreFilter,SVM,COMPLEXITY_corr,False,0.65,N1,15,0.9166666666666666,0.9166666666666666,0.6666666666666666,0.6666666666666666,,,,0.2916666666666667,0.1972222222222222,0.25
3,pollution_NoPreFilter,KNN,COMPLEXITY_corr,False,0.7,N1,15,0.8333333333333334,0.8319327731092437,0.75,0.7476635514018692,,,,0.2916666666666667,0.1972222222222222,0.25
3,pollution_NoPreFilter,SVM,COMPLEXITY_corr,False,0.7,N1,15,0.9166666666666666,0.9166666666666666,0.6666666666666666,0.6666666666666666,,,,0.2916666666666667,0.1972222222222222,0.25
