dataset,subset,model,mean_acc,std_acc,mean_gps,std_gps,mean_acc_class_0,std_acc_class_0,mean_acc_class_1,std_acc_class_1
ArtificialDataset3,f_classif_top25,SVM-linear,0.922,0.025999999999999985,0.9219378919845929,0.026004558670691715,0.932,0.0370944739819828,0.9119999999999999,0.034871191548325374
ArtificialDataset3,f_classif_top25,SVM-rbf,0.9559999999999998,0.016852299546352707,0.9559763372354201,0.016864400881582205,0.966,0.022,0.9460000000000001,0.028354893757515626
ArtificialDataset3,f_classif_top25,RandomForest,0.9359999999999999,0.020591260281973976,0.9359082216852495,0.02073585371533239,0.952,0.022271057451320082,0.9199999999999999,0.04098780306383839
ArtificialDataset3,f_classif_top25,KNN,0.9349999999999999,0.021095023109728963,0.9349443986029049,0.021084377776354753,0.9559999999999998,0.03072458299147443,0.914,0.028354893757515636
ArtificialDataset3,f_classif_top25,NaiveBayes,0.845,0.03694590640382234,0.8412479780437735,0.039220187380076925,0.97,0.020493901531919215,0.72,0.07694153624668539
ArtificialDataset3,f_classif_top25,DecisionTree,0.849,0.02426932219902319,0.8488297639656169,0.024223499315826288,0.8480000000000001,0.038157568056677825,0.85,0.04219004621945799
ArtificialDataset3,f_classif_top25,XGBoost,0.938,0.021817424229271402,0.9379381202326759,0.021869836906093832,0.9479999999999998,0.02227105745132008,0.9279999999999999,0.04214261501141094
ArtificialDataset3,rf_top25,LogReg,0.9460000000000001,0.022449944320643633,0.9459505603963606,0.022531256645219898,0.952,0.022271057451320072,0.9400000000000001,0.03898717737923585
ArtificialDataset3,rf_top25,SVM-linear,0.95,0.026457513110645894,0.9499093163138376,0.026596674069074934,0.9639999999999999,0.0233238075793812,0.9359999999999999,0.04963869458396342
ArtificialDataset3,rf_top25,SVM-rbf,0.9809999999999999,0.017000000000000015,0.9809920320464187,0.0170065204543336,0.9879999999999999,0.013266499161421611,0.9739999999999999,0.028354893757515674
ArtificialDataset3,rf_top25,RandomForest,0.9489999999999998,0.014456832294800973,0.9489535644755932,0.014478142090032614,0.9600000000000002,0.023664319132398446,0.938,0.03399999999999998
ArtificialDataset3,rf_top25,KNN,0.967,0.0167630546142402,0.9669794471537039,0.01678411060785687,0.966,0.020099751242241774,0.968,0.03249615361854383
ArtificialDataset3,rf_top25,NaiveBayes,0.9029999999999999,0.030016662039607272,0.9027039696061909,0.030320603812278777,0.938,0.016613247725836118,0.8680000000000001,0.05670978751503128
ArtificialDataset3,rf_top25,DecisionTree,0.851,0.021656407827707735,0.8508407395642659,0.02160113303146361,0.858,0.030265491900843138,0.8440000000000001,0.04363484845854285
