fold,dataset,model,strategy,pre_corr,corr_th,measure,n_features,acc_train,gps_train,acc_test,gps_test,complexity_all_kDN,complexity_all_N1,complexity_all_Hostility,complexity_sel_kDN,complexity_sel_N1,complexity_sel_Hostility
1,parkinsons_NoPreFilter,KNN,COMPLEXITY_corr,False,0.55,Hostility,6,0.9615384615384616,0.9489332728098048,0.9230769230769231,0.8924302788844624,,,,0.10384615384615384,0.08814102564102565,0.10897435897435898
1,parkinsons_NoPreFilter,SVM,COMPLEXITY_corr,False,0.55,Hostility,6,0.9038461538461539,0.8415374241402563,0.8717948717948718,0.7733333333333333,,,,0.10384615384615384,0.08814102564102565,0.10897435897435898
1,parkinsons_NoPreFilter,KNN,COMPLEXITY_corr,False,0.6,Hostility,9,0.9615384615384616,0.9489332728098048,0.8974358974358975,0.8484848484848485,,,,0.0935897435897436,0.07051282051282051,0.12179487179487179
1,parkinsons_NoPreFilter,SVM,COMPLEXITY_corr,False,0.6,Hostility,9,0.9102564102564102,0.8547632963179428,0.8717948717948718,0.7733333333333333,,,,0.0935897435897436,0.07051282051282051,0.12179487179487179
1,parkinsons_NoPreFilter,KNN,COMPLEXITY_corr,False,0.65,Hostility,12,0.9615384615384616,0.9470588235294117,0.9230769230769231,0.882608695652174,,,,0.09871794871794873,0.06677350427350427,0.08974358974358974
1,parkinsons_NoPreFilter,SVM,COMPLEXITY_corr,False,0.65,Hostility,12,0.9166666666666666,0.8674698795180724,0.8717948717948718,0.7733333333333333,,,,0.09871794871794873,0.06677350427350427,0.08974358974358974
1,parkinsons_NoPreFilter,KNN,COMPLEXITY_corr,False,0.7,Hostility,13,0.9615384615384616,0.9480249480249481,0.9230769230769231,0.882608695652174,,,,0.10512820512820514,0.058760683760683746,0.08333333333333333
1,parkinsons_NoPreFilter,SVM,COMPLEXITY_corr,False,0.7,Hostility,13,0.9166666666666666,0.8674698795180724,0.8461538461538461,0.7387862796833773,,,,0.10512820512820514,0.058760683760683746,0.08333333333333333
1,parkinsons_NoPreFilter,KNN,COMPLEXITY_corr,False,0.75,Hostility,13,0.9615384615384616,0.9480249480249481,0.9230769230769231,0.882608695652174,,,,0.10512820512820514,0.058760683760683746,0.08333333333333333
1,parkinsons_NoPreFilter,SVM,COMPLEXITY_corr,False,0.75,Hostility,13,0.9166666666666666,0.8674698795180724,0.8461538461538461,0.7387862796833773,,,,0.10512820512820514,0.058760683760683746,0.08333333333333333
1,parkinsons_NoPreFilter,KNN,COMPLEXITY_corr,False,0.8,Hostility,14,0.9615384615384616,0.9480249480249481,0.9230769230769231,0.882608695652174,,,,0.10641025641025642,0.05662393162393162,0.07051282051282051
1,parkinsons_NoPreFilter,SVM,COMPLEXITY_corr,False,0.8,Hostility,14,0.9166666666666666,0.8674698795180724,0.8717948717948718,0.7733333333333333,,,,0.10641025641025642,0.05662393162393162,0.07051282051282051
2,parkinsons_NoPreFilter,KNN,NONE,False,,NONE,22,0.9230769230769231,0.8945054945054945,0.9487179487179487,0.9316081330868762,0.12692307692307692,0.09636752136752136,0.08974358974358974,,,
2,parkinsons_NoPreFilter,SVM,NONE,False,,NONE,22,0.8974358974358975,0.8277453091356506,0.8974358974358975,0.8108108108108109,0.12692307692307692,0.09636752136752136,0.08974358974358974,,,
2,parkinsons_NoPreFilter,KNN,COMPLEXITY_corr,False,0.55,kDN,9,0.9551282051282052,0.9374812683570101,0.9230769230769231,0.9,,,,0.14102564102564102,0.08557692307692308,0.10897435897435898
