measure,subset_k,model,variables_incluidas,mean_acc,std_acc,mean_gps,std_gps,mean_acc_class_0,mean_acc_class_1,std_acc_class_0,std_acc_class_1
Hostility,10,SVM-linear,"f12,f8,f9,f2,f14,f7,f4,f6,f10,f3",0.9390000000000001,0.01972308292331599,0.938932665742039,0.019762186647532768,0.9499999999999998,0.9279999999999999,0.022360679774997887,0.04308131845707602
Hostility,10,SVM-rbf,"f12,f8,f9,f2,f14,f7,f4,f6,f10,f3",0.9559999999999998,0.01428285685708569,0.9559506521281076,0.014302970604074277,0.9719999999999999,0.9400000000000001,0.028565713714171402,0.03224903099319418
Hostility,10,RandomForest,"f12,f8,f9,f2,f14,f7,f4,f6,f10,f3",0.9299999999999999,0.02190890230020663,0.9299298087631518,0.0219030198213943,0.9339999999999999,0.9260000000000002,0.03231098884280701,0.042941821107167766
Hostility,10,KNN,"f12,f8,f9,f2,f14,f7,f4,f6,f10,f3",0.9440000000000002,0.013564659966250506,0.9439454446508538,0.01358090761763873,0.9579999999999999,0.93,0.032802438933713436,0.025690465157330228
Hostility,10,NaiveBayes,"f12,f8,f9,f2,f14,f7,f4,f6,f10,f3",0.8910000000000002,0.01757839583124696,0.8907888114209592,0.017666167792314776,0.8720000000000001,0.9100000000000001,0.03249615361854385,0.045825756949558386
Hostility,10,DecisionTree,"f12,f8,f9,f2,f14,f7,f4,f6,f10,f3",0.884,0.01685229954635273,0.8838548340095838,0.016821062997320675,0.876,0.892,0.03200000000000001,0.04214261501141097
Hostility,10,XGBoost,"f12,f8,f9,f2,f14,f7,f4,f6,f10,f3",0.9550000000000001,0.014999999999999987,0.9549717353073028,0.015017570608631636,0.966,0.9440000000000002,0.015620499351813323,0.03199999999999998
Hostility,11,LogReg,"f12,f8,f9,f2,f14,f7,f4,f6,f10,f3,f13",0.938,0.018330302779823327,0.9379530134596635,0.018330678925004566,0.944,0.932,0.026532998322843185,0.037094473981982796
Hostility,11,SVM-linear,"f12,f8,f9,f2,f14,f7,f4,f6,f10,f3,f13",0.944,0.019078784028338888,0.9439385429184066,0.019091514671662497,0.9579999999999999,0.93,0.027495454169735034,0.039242833740697154
Hostility,11,SVM-rbf,"f12,f8,f9,f2,f14,f7,f4,f6,f10,f3,f13",0.9700000000000001,0.007745966692414842,0.9699871737952259,0.007750320295250724,0.976,0.9640000000000001,0.021540659228538032,0.01959591794226544
Hostility,11,RandomForest,"f12,f8,f9,f2,f14,f7,f4,f6,f10,f3,f13",0.945,0.01857417562100669,0.9449433956869662,0.018599817213394036,0.952,0.938,0.03249615361854383,0.03627671429443409
Hostility,11,KNN,"f12,f8,f9,f2,f14,f7,f4,f6,f10,f3,f13",0.9629999999999999,0.017916472867168937,0.9629743807525106,0.01792445187475584,0.976,0.9499999999999998,0.0265329983228432,0.028635642126552695
Hostility,11,NaiveBayes,"f12,f8,f9,f2,f14,f7,f4,f6,f10,f3,f13",0.8879999999999999,0.015362291495737231,0.8878170591276604,0.015406857759249763,0.8720000000000001,0.9039999999999999,0.028565713714171402,0.044542114902640165
Hostility,11,DecisionTree,"f12,f8,f9,f2,f14,f7,f4,f6,f10,f3,f13",0.8969999999999999,0.03348133808556643,0.8968591984478929,0.033458186597651575,0.8880000000000001,0.906,0.02856571371417141,0.06452906321960672
Hostility,11,XGBoost,"f12,f8,f9,f2,f14,f7,f4,f6,f10,f3,f13",0.96,0.014832396974191317,0.9599607931265661,0.014883904559568034,0.9640000000000001,0.9559999999999998,0.019595917942265416,0.03666060555964671
Hostility,12,LogReg,"f12,f8,f9,f2,f14,f7,f4,f6,f10,f3,f13,f17",0.9349999999999999,0.0168819430161341,0.9349400078621788,0.01687608693068072,0.9380000000000001,0.932,0.03155946767611898,0.037094473981982796
Hostility,12,SVM-linear,"f12,f8,f9,f2,f14,f7,f4,f6,f10,f3,f13,f17",0.942,0.019899748742132368,0.9419468863566092,0.019906809071132788,0.952,0.932,0.02561249694973139,0.041182520563947986
Hostility,12,SVM-rbf,"f12,f8,f9,f2,f14,f7,f4,f6,f10,f3,f13,f17",0.9710000000000001,0.011357816691600556,0.9709791502742323,0.011384953756270298,0.982,0.9600000000000002,0.014000000000000012,0.028284271247461905
Hostility,12,RandomForest,"f12,f8,f9,f2,f14,f7,f4,f6,f10,f3,f13,f17",0.9460000000000001,0.022449944320643626,0.9459720250377744,0.022459939464809186,0.95,0.942,0.02569046515733024,0.03515679166249388
Hostility,12,KNN,"f12,f8,f9,f2,f14,f7,f4,f6,f10,f3,f13,f17",0.9610000000000001,0.012206555615733713,0.9609571059034014,0.012228203849770265,0.982,0.9399999999999998,0.022715633383201084,0.028284271247461888
Hostility,12,NaiveBayes,"f12,f8,f9,f2,f14,f7,f4,f6,f10,f3,f13,f17",0.8969999999999999,0.023259406699226014,0.8968492659114105,0.0233060602063248,0.89,0.9039999999999999,0.03,0.05122499389946278
Hostility,12,DecisionTree,"f12,f8,f9,f2,f14,f7,f4,f6,f10,f3,f13,f17",0.898,0.021354156504062617,0.8978525914954336,0.021372057374881088,0.898,0.898,0.034,0.048538644398046386
Hostility,12,XGBoost,"f12,f8,f9,f2,f14,f7,f4,f6,f10,f3,f13,f17",0.9560000000000001,0.009165151389911688,0.9559472303389434,0.009221792993915044,0.9620000000000001,0.95,0.028913664589601904,0.03376388603226825
Hostility,13,LogReg,"f12,f8,f9,f2,f14,f7,f4,f6,f10,f3,f13,f17,f11",0.9390000000000001,0.016999999999999963,0.9389530704052553,0.01700605081296553,0.946,0.932,0.02374868417407582,0.037094473981982796
Hostility,13,SVM-linear,"f12,f8,f9,f2,f14,f7,f4,f6,f10,f3,f13,f17,f11",0.946,0.020099751242241753,0.9459617636944891,0.020116174124362268,0.9579999999999999,0.9339999999999999,0.020880613017821098,0.03583294573433781
Hostility,13,SVM-rbf,"f12,f8,f9,f2,f14,f7,f4,f6,f10,f3,f13,f17,f11",0.9690000000000001,0.009433981132056613,0.9689855608296494,0.009442248751529256,0.9739999999999999,0.9640000000000001,0.02200000000000002,0.02154065922853801
Hostility,13,RandomForest,"f12,f8,f9,f2,f14,f7,f4,f6,f10,f3,f13,f17,f11",0.945,0.013601470508735423,0.9449427942209585,0.013618510477688354,0.95,0.9400000000000002,0.03376388603226825,0.03224903099319418
Hostility,13,KNN,"f12,f8,f9,f2,f14,f7,f4,f6,f10,f3,f13,f17,f11",0.959,0.012206555615733713,0.9589607207201534,0.0122307364922725,0.9719999999999999,0.946,0.027129319932501065,0.028354893757515636
Hostility,13,NaiveBayes,"f12,f8,f9,f2,f14,f7,f4,f6,f10,f3,f13,f17,f11",0.8969999999999999,0.025709920264364867,0.8968514575113062,0.0257623019503713,0.89,0.9039999999999999,0.032557641192199414,0.05122499389946278
Hostility,13,DecisionTree,"f12,f8,f9,f2,f14,f7,f4,f6,f10,f3,f13,f17,f11",0.897,0.023685438564654042,0.8968456084697705,0.023778787995612404,0.9000000000000001,0.8939999999999999,0.020000000000000018,0.05660388679233961
