,Hostility_importances,Hostility_importances_norm,count_vars,kDN_importances,kDN_importances_norm,count_vars,N1_importances,N1_importances_norm,count_vars
f20,0.33599999999999997,0.0026456692913385824,127.0,0.0940000000000003,0.0018076923076923135,52.0,0.19427738095238084,0.004625651927437639,42.0
f21,0.2130000000000001,0.0011093750000000006,192.0,0.1913999999999998,0.0011888198757763963,161.0,0.212166666666667,0.0009264919941775852,229.0
f22,0.17000000000000004,0.0011564625850340139,147.0,0.11580000000000013,0.0009338709677419364,124.0,0.30466904761904745,0.002626457307060754,116.0
f23,0.27600000000000013,0.001577142857142858,175.0,0.3896,0.001948,200.0,0.33133333333333326,0.0016566666666666663,200.0
f24,0.0,0.0,320.0,0.0,0.0,220.0,0.0,0.0,370.0
f25,-0.09800000000000003,-0.0006533333333333336,150.0,-0.2242,-0.0021980392156862746,102.0,-0.3936535714285716,-0.002772208249496983,142.0
f26,0.11200000000000002,0.00042585551330798487,263.0,-0.12020000000000008,-0.0011669902912621367,103.0,-0.06632380952380967,-0.0007369312169312186,90.0
f27,-0.167,-0.000698744769874477,239.0,-0.28259999999999985,-0.001883999999999999,150.0,-0.01986666666666631,-8.453900709219707e-05,235.0
f28,-0.2269999999999999,-0.0013197674418604646,172.0,-0.16479999999999984,-0.0011687943262411336,141.0,-0.24418333333333336,-0.0012332491582491584,198.0
f29,-0.059999999999999915,-0.0016216216216216194,37.0,-0.25460000000000016,-0.003536111111111113,72.0,-0.11974761904761849,-0.001787277896233112,67.0
f3,0.49599999999999994,0.0017464788732394364,284.0,0.5661999999999998,0.0019193220338983045,295.0,0.4735833333333334,0.0015034391534391536,315.0
f30,0.24199999999999997,0.002122807017543859,114.0,0.3104000000000001,0.0019770700636942682,157.0,0.3754428571428571,0.0023612758310871513,159.0
f31,1.1049999999999995,0.004662447257383964,237.0,0.7862,0.004343646408839779,181.0,0.4439000000000003,0.0012029810298102989,369.0
f32,-0.043000000000000066,-0.0002986111111111116,144.0,0.16739999999999994,0.0009147540983606554,183.0,0.5578666666666666,0.017433333333333332,32.0
f33,0.45599999999999996,0.015199999999999998,30.0,1.0187999999999995,0.0030231454005934704,337.0,0.603833333333333,0.002244733581164807,269.0
f34,,,,,,,,,
f35,,,,,,,,,
f36,,,,,,,,,
f37,-0.08800000000000002,-0.0011891891891891895,74.0,0.00019999999999981144,3.7735849056568198e-06,53.0,0.004635714285713799,4.4574175824171144e-05,104.0
f38,,,,,,,,,
f39,-0.10999999999999988,-0.000873015873015872,126.0,-0.06720000000000004,-0.0008096385542168679,83.0,-0.058433333333333115,-0.0008468599033816394,69.0
f4,0.5730000000000003,0.00651136363636364,88.0,0.5122000000000001,0.0017971929824561407,285.0,0.7955000000000001,0.0037000000000000006,215.0
f40,0.16199999999999992,0.0026557377049180315,61.0,0.06039999999999984,0.0003552941176470579,170.0,0.004545238095238269,4.169943206640613e-05,109.0
f41,,,,,,,,,
f42,0.06399999999999997,0.0012549019607843131,51.0,0.2206000000000004,0.0009761061946902673,226.0,0.12725000000000014,0.0009425925925925936,135.0
f43,,,,,,,,,
f44,0.20500000000000004,0.00129746835443038,158.0,0.4199999999999998,0.0015969581749049422,263.0,0.2884333333333334,0.0013478193146417448,214.0
f5,0.2630000000000001,0.0014692737430167604,179.0,0.7129999999999999,0.0030600858369098705,233.0,0.8908000000000007,0.0035209486166007933,253.0
f6,0.272,0.008774193548387097,31.0,0.5973999999999999,0.0043289855072463765,138.0,0.5511749999999996,0.0042074427480916,131.0
f7,0.295,0.0013409090909090907,220.0,0.4232000000000002,0.0022157068062827233,191.0,0.4407404761904759,0.002687441927990707,164.0
f8,0.11200000000000002,0.0004912280701754386,228.0,0.4236000000000002,0.001426262626262627,297.0,0.3810833333333334,0.0020938644688644694,182.0
f9,0.39599999999999985,0.0014999999999999994,264.0,0.32740000000000014,0.0010949832775919736,299.0,0.6359833333333336,0.0030141390205371257,211.0
