,Hostility_importances,N1_importances,kDN_importances,Hostility_importances_norm,N1_importances_norm,kDN_importances_norm,count_vars
f45,-0.08200000000000013,-0.1545440476190476,-0.13360000000000027,-0.0003117870722433465,-0.0005876199529241354,-0.0005079847908745258,263.0
f46,-0.1509999999999998,-0.3640690476190476,-0.1443999999999998,-0.0009041916167664659,-0.0021800541773595665,-0.0008646706586826336,167.0
f47,-0.27600000000000013,-0.1707321428571429,-0.12120000000000003,-0.001445026178010472,-0.0008938855646970832,-0.0006345549738219897,191.0
f48,-0.03899999999999998,-0.004101190476190175,-0.03959999999999991,-0.00032231404958677667,-3.3894136166860954e-05,-0.00032727272727272656,121.0
f49,-0.11499999999999977,-0.04353928571428578,0.01739999999999997,-0.0004914529914529904,-0.00018606532356532385,7.435897435897424e-05,234.0
f5,0.4759999999999999,0.41898412698412707,0.47859999999999975,0.0024791666666666664,0.002182208994708995,0.002492708333333332,192.0
f50,0.07900000000000013,-0.07856904761904743,-0.06640000000000013,0.0003834951456310686,-0.0003814031437817836,-0.00032233009708737927,206.0
f51,0.03400000000000014,-0.2396523809523814,-0.17339999999999967,0.00010658307210031393,-0.0007512613822958664,-0.0005435736677115977,319.0
f52,-0.20400000000000001,-0.1185452380952382,-0.10039999999999988,-0.0007208480565371025,-0.00041888776712098306,-0.000354770318021201,283.0
f53,-0.08300000000000016,-0.10952500000000026,-0.15700000000000003,-0.0003990384615384623,-0.0005265625000000012,-0.0007548076923076924,208.0
f54,0.028000000000000136,0.047678571428571015,0.0050000000000001155,0.00020000000000000096,0.000340561224489793,3.571428571428654e-05,140.0
f55,0.251,0.5622674603174602,0.5634000000000002,0.0012364532019704434,0.002769790444913597,0.00277536945812808,203.0
f56,,,,,,,
f57,0.333,0.39461587301587314,0.30039999999999983,0.002107594936708861,0.002497568816556159,0.001901265822784809,158.0
f58,0.25499999999999995,0.3885892857142856,0.39339999999999953,0.0013281249999999997,0.002023902529761904,0.002048958333333331,192.0
f59,,,,,,,
f6,0.16999999999999998,0.07245119047619036,0.09020000000000006,0.0008292682926829268,0.00035342044134727005,0.0004400000000000003,205.0
