dataset,subset,model,acc,gps,acc_class_0,acc_class_1
ArtificialDataset16,informative+redundant_nonLinear,RandomForest,0.734,0.19981967213114757,0.06181818181818182,0.9889655172413793
ArtificialDataset16,informative+redundant_nonLinear,KNN,0.766,0.5957291328353362,0.36,0.92
ArtificialDataset16,informative+redundant_nonLinear,NaiveBayes,0.653,0.5756524181843721,0.56,0.6882758620689655
ArtificialDataset16,informative+redundant_nonLinear,DecisionTree,0.613,0.4355392489274982,0.31636363636363635,0.7255172413793104
ArtificialDataset16,informative+redundant_nonLinear,XGBoost,0.764,0.5187067566413256,0.2545454545454545,0.9572413793103448
ArtificialDataset16,informative+noise,LogReg,0.738,0.5395233196159122,0.31636363636363635,0.8979310344827586
ArtificialDataset16,informative+noise,SVM-linear,0.761,0.5504620715735151,0.29818181818181816,0.9365517241379311
ArtificialDataset16,informative+noise,SVM-rbf,0.743,0.24105024264802322,0.07636363636363637,0.9958620689655172
ArtificialDataset16,informative+noise,RandomForest,0.729,0.05546020013482565,0.014545454545454545,1.0
ArtificialDataset16,informative+noise,KNN,0.718,0.41047470418335974,0.19272727272727272,0.9172413793103448
ArtificialDataset16,informative+noise,NaiveBayes,0.698,0.47853234249299914,0.28363636363636363,0.8551724137931035
ArtificialDataset16,informative+noise,DecisionTree,0.632,0.47160552167867764,0.3527272727272727,0.7379310344827587
ArtificialDataset16,informative+noise,XGBoost,0.738,0.4372904637735146,0.2,0.9420689655172414
ArtificialDataset16,informative+rand_extra,LogReg,0.759,0.5586261645485014,0.31272727272727274,0.9282758620689655
ArtificialDataset16,informative+rand_extra,SVM-linear,0.776,0.511861969805895,0.23272727272727273,0.9820689655172414
ArtificialDataset16,informative+rand_extra,SVM-rbf,0.814,0.666511013215859,0.3890909090909091,0.9751724137931035
ArtificialDataset16,informative+rand_extra,RandomForest,0.741,0.24793977844046225,0.08,0.9917241379310345
ArtificialDataset16,informative+rand_extra,KNN,0.78,0.621038125861277,0.3781818181818182,0.9324137931034483
ArtificialDataset16,informative+rand_extra,NaiveBayes,0.712,0.5219872440416247,0.32727272727272727,0.8579310344827586
ArtificialDataset16,informative+rand_extra,DecisionTree,0.652,0.5011783741953638,0.3781818181818182,0.7558620689655172
ArtificialDataset16,informative+rand_extra,XGBoost,0.759,0.5635547623421958,0.32,0.9255172413793104
ArtificialDataset16,mutual_info_top50,LogReg,0.721,0.36697663441114,0.15636363636363637,0.9351724137931035
ArtificialDataset16,mutual_info_top50,SVM-linear,0.725,0.0,0.0,1.0
ArtificialDataset16,mutual_info_top50,SVM-rbf,0.742,0.28004512974802565,0.09454545454545454,0.9875862068965517
ArtificialDataset16,mutual_info_top50,RandomForest,0.736,0.24435318275154005,0.08,0.9848275862068966
ArtificialDataset16,mutual_info_top50,KNN,0.719,0.4390906137995942,0.21818181818181817,0.9089655172413793
ArtificialDataset16,mutual_info_top50,NaiveBayes,0.665,0.49076624507681654,0.3418181818181818,0.7875862068965517
ArtificialDataset16,mutual_info_top50,DecisionTree,0.638,0.49027587728978145,0.3781818181818182,0.736551724137931
ArtificialDataset16,mutual_info_top50,XGBoost,0.737,0.463415376864112,0.22545454545454546,0.9310344827586207
ArtificialDataset16,f_classif_top50,LogReg,0.733,0.5050791651809761,0.27636363636363637,0.9062068965517242
ArtificialDataset16,f_classif_top50,SVM-linear,0.736,0.364321608040201,0.14545454545454545,0.96
ArtificialDataset16,f_classif_top50,SVM-rbf,0.769,0.4814837517623055,0.2109090909090909,0.9806896551724138
ArtificialDataset16,f_classif_top50,RandomForest,0.738,0.26940632368055134,0.09090909090909091,0.983448275862069
ArtificialDataset16,f_classif_top50,KNN,0.724,0.4844582043343653,0.26181818181818184,0.8993103448275862
ArtificialDataset16,f_classif_top50,NaiveBayes,0.672,0.5760415464512405,0.5127272727272727,0.7324137931034482
ArtificialDataset16,f_classif_top50,DecisionTree,0.65,0.5015337423312883,0.38181818181818183,0.7517241379310344
ArtificialDataset16,f_classif_top50,XGBoost,0.748,0.5341222528694725,0.29454545454545455,0.92
ArtificialDataset16,rf_top50,LogReg,0.716,0.3957877721783779,0.18181818181818182,0.9186206896551724
ArtificialDataset16,rf_top50,SVM-linear,0.725,0.0,0.0,1.0
ArtificialDataset16,rf_top50,SVM-rbf,0.761,0.4294439651792016,0.17454545454545456,0.983448275862069
ArtificialDataset16,rf_top50,RandomForest,0.746,0.3318617771509168,0.12,0.983448275862069
ArtificialDataset16,rf_top50,KNN,0.736,0.4765291607396871,0.24,0.9241379310344827
ArtificialDataset16,rf_top50,NaiveBayes,0.689,0.5619727263993001,0.44,0.783448275862069
ArtificialDataset16,rf_top50,DecisionTree,0.652,0.4972346309295894,0.3709090909090909,0.7586206896551724
ArtificialDataset16,rf_top50,XGBoost,0.751,0.5048731859595053,0.2545454545454545,0.9393103448275862
