dataset,fold,method,k,n_available_features,model,acc_test,gps_test
ArtificialDataset18c,1,mutual_info,25,42,KNN,0.67,0.54421768707483
ArtificialDataset18c,1,mutual_info,26,42,SVM-rbf,0.69,0.27021494370522003
ArtificialDataset18c,1,mutual_info,26,42,KNN,0.68,0.5815384615384616
ArtificialDataset18c,1,mutual_info,27,42,SVM-rbf,0.69,0.27021494370522003
ArtificialDataset18c,1,mutual_info,27,42,KNN,0.63,0.5634013860273459
ArtificialDataset18c,1,mutual_info,28,42,SVM-rbf,0.69,0.27021494370522003
ArtificialDataset18c,1,mutual_info,28,42,KNN,0.67,0.5852560495216658
ArtificialDataset18c,1,mutual_info,29,42,SVM-rbf,0.69,0.27021494370522003
ArtificialDataset18c,1,mutual_info,29,42,KNN,0.68,0.5937266616878268
ArtificialDataset18c,1,mutual_info,30,42,SVM-rbf,0.69,0.27021494370522003
ArtificialDataset18c,1,mutual_info,30,42,KNN,0.67,0.5730836068739139
ArtificialDataset18c,1,mutual_info,31,42,SVM-rbf,0.69,0.27021494370522003
ArtificialDataset18c,1,mutual_info,31,42,KNN,0.71,0.6200405978962908
ArtificialDataset18c,1,mutual_info,32,42,SVM-rbf,0.69,0.27021494370522003
ArtificialDataset18c,1,mutual_info,32,42,KNN,0.65,0.5430809399477806
ArtificialDataset18c,1,mutual_info,33,42,SVM-rbf,0.69,0.27021494370522003
ArtificialDataset18c,1,mutual_info,33,42,KNN,0.67,0.5852560495216658
ArtificialDataset18c,1,mutual_info,34,42,SVM-rbf,0.68,0.2638700947225981
ArtificialDataset18c,1,mutual_info,34,42,KNN,0.61,0.512
ArtificialDataset18c,1,mutual_info,35,42,SVM-rbf,0.69,0.27021494370522003
ArtificialDataset18c,1,mutual_info,35,42,KNN,0.64,0.5606407322654462
ArtificialDataset18c,1,mutual_info,36,42,SVM-rbf,0.68,0.2638700947225981
ArtificialDataset18c,1,mutual_info,36,42,KNN,0.68,0.5815384615384616
ArtificialDataset18c,1,mutual_info,37,42,SVM-rbf,0.68,0.2638700947225981
ArtificialDataset18c,1,mutual_info,37,42,KNN,0.64,0.5351089588377724
ArtificialDataset18c,1,mutual_info,38,42,SVM-rbf,0.69,0.27021494370522003
ArtificialDataset18c,1,mutual_info,38,42,KNN,0.65,0.5566166439290587
ArtificialDataset18c,1,mutual_info,39,42,SVM-rbf,0.69,0.27021494370522003
ArtificialDataset18c,1,mutual_info,39,42,KNN,0.65,0.5430809399477806
ArtificialDataset18c,1,mutual_info,40,42,SVM-rbf,0.69,0.27021494370522003
ArtificialDataset18c,1,mutual_info,40,42,KNN,0.64,0.5199999999999999
ArtificialDataset18c,1,mutual_info,41,42,SVM-rbf,0.7,0.27685950413223137
ArtificialDataset18c,1,mutual_info,41,42,KNN,0.69,0.5765195010888933
ArtificialDataset18c,1,mutual_info,42,42,SVM-rbf,0.7,0.27685950413223137
ArtificialDataset18c,1,mutual_info,42,42,KNN,0.71,0.6078842125309466
ArtificialDataset18c,1,relief,1,42,SVM-rbf,0.68,0.10965630114566284
ArtificialDataset18c,1,relief,1,42,KNN,0.68,0.4687499999999999
ArtificialDataset18c,1,relief,2,42,SVM-rbf,0.67,0.1904064445258147
ArtificialDataset18c,1,relief,2,42,KNN,0.59,0.30865961703343814
ArtificialDataset18c,1,relief,3,42,SVM-rbf,0.69,0.27021494370522003
ArtificialDataset18c,1,relief,3,42,KNN,0.64,0.37662337662337664
ArtificialDataset18c,1,relief,4,42,SVM-rbf,0.69,0.27021494370522003
ArtificialDataset18c,1,relief,4,42,KNN,0.58,0.2131782945736434
ArtificialDataset18c,1,relief,5,42,SVM-rbf,0.67,0.1904064445258147
ArtificialDataset18c,1,relief,5,42,KNN,0.59,0.3446220536439989
ArtificialDataset18c,1,relief,6,42,SVM-rbf,0.67,0.1904064445258147
ArtificialDataset18c,1,relief,6,42,KNN,0.59,0.375741935483871
ArtificialDataset18c,1,relief,7,42,SVM-rbf,0.66,0.10383386581469647
ArtificialDataset18c,1,relief,7,42,KNN,0.63,0.4021543985637343
ArtificialDataset18c,1,relief,8,42,SVM-rbf,0.66,0.10383386581469647
ArtificialDataset18c,1,relief,8,42,KNN,0.6,0.38208032955715754
ArtificialDataset18c,1,relief,9,42,SVM-rbf,0.67,0.10666666666666666
ArtificialDataset18c,1,relief,9,42,KNN,0.58,0.3387622149837134
ArtificialDataset18c,1,relief,10,42,SVM-rbf,0.66,0.10383386581469647
ArtificialDataset18c,1,relief,10,42,KNN,0.59,0.375741935483871
ArtificialDataset18c,1,relief,11,42,SVM-rbf,0.7,0.27685950413223137
ArtificialDataset18c,1,relief,11,42,KNN,0.59,0.3446220536439989
ArtificialDataset18c,1,relief,12,42,SVM-rbf,0.67,0.1904064445258147
ArtificialDataset18c,1,relief,12,42,KNN,0.59,0.30865961703343814
ArtificialDataset18c,1,relief,13,42,SVM-rbf,0.68,0.1952662721893491
ArtificialDataset18c,1,relief,13,42,KNN,0.58,0.30320366132723114
ArtificialDataset18c,1,relief,14,42,SVM-rbf,0.69,0.27021494370522003
ArtificialDataset18c,1,relief,14,42,KNN,0.54,0.19767441860465115
ArtificialDataset18c,1,relief,15,42,SVM-rbf,0.7,0.33460076045627374
ArtificialDataset18c,1,relief,15,42,KNN,0.57,0.25704759017884204
ArtificialDataset18c,1,relief,16,42,SVM-rbf,0.71,0.34238262535931013
ArtificialDataset18c,1,relief,16,42,KNN,0.58,0.3695652173913044
ArtificialDataset18c,1,relief,17,42,SVM-rbf,0.71,0.34238262535931013
ArtificialDataset18c,1,relief,17,42,KNN,0.61,0.4403669724770642
ArtificialDataset18c,1,relief,18,42,SVM-rbf,0.68,0.2638700947225981
