fold,model,method,filter_corr,n_features,acc_train,gps_train,acc_test,gps_test,Hostility,kDN,N1
4,SVM-rbf,mutual_info,True,50,0.83,0.7430340557275541,0.67,0.0,0.2625,0.402,0.40861280386280385
4,SVM-rbf,f_classif,True,50,0.875,0.8290414598882421,0.7,0.20574886535552192,0.31,0.41650000000000004,0.4011902056277056
4,SVM-rbf,rf,True,50,0.8675,0.816073446610195,0.68,0.10965630114566284,0.3175,0.377,0.3685246142746143
4,SVM-rbf,relief,True,50,0.875,0.8290414598882421,0.69,0.20037383177570092,0.2825,0.37900000000000006,0.39348039868628104
4,SVM-rbf,xgb,True,50,0.8175,0.7148403435629725,0.69,0.11281625881377022,0.3125,0.395,0.37818107769423553
5,SVM-rbf,mutual_info,True,50,0.81,0.6967487684729063,0.69,0.11281625881377022,0.3025,0.4135000000000001,0.3925780885780886
5,SVM-rbf,f_classif,True,50,0.86,0.8057751250201646,0.71,0.34238262535931013,0.3075,0.39050000000000007,0.41476892953537686
5,SVM-rbf,rf,True,50,0.86,0.8026229508196722,0.71,0.34238262535931013,0.3225,0.38850000000000007,0.4141953324453324
5,SVM-rbf,relief,True,50,0.8675,0.816073446610195,0.69,0.20037383177570092,0.3,0.3895,0.3975248015873016
5,SVM-rbf,xgb,True,50,0.785,0.6285557083906465,0.7,0.20574886535552192,0.305,0.43650000000000005,0.3892868867243868
1,KNN,mutual_info,True,50,0.7525,0.6627508233456695,0.66,0.5359801488833746,0.3225,0.41350000000000003,0.3804499777183601
1,KNN,f_classif,True,50,0.775,0.6544292508917955,0.61,0.2771194165907019,0.2475,0.38300000000000006,0.3719762667887667
1,KNN,rf,True,50,0.77,0.6298076923076922,0.66,0.3065512978986403,0.3225,0.39049999999999996,0.3710990577405051
1,KNN,relief,True,50,0.7425,0.5325264750378215,0.63,0.2359882005899705,0.2975,0.382,0.3944669462481963
1,KNN,xgb,True,50,0.8125,0.762831427876429,0.62,0.46889089269612266,0.3225,0.408,0.39019841269841266
2,KNN,mutual_info,True,50,0.745,0.5906593406593407,0.58,0.2131782945736434,0.3225,0.41800000000000004,0.41058436355311356
2,KNN,f_classif,True,50,0.765,0.6474827197411638,0.66,0.3521939953810624,0.295,0.415,0.40751348304473306
2,KNN,rf,True,50,0.7675,0.6228949558188374,0.66,0.3065512978986403,0.255,0.3725,0.4091820887445887
2,KNN,relief,True,50,0.7525,0.5615150311217058,0.71,0.3906481207457828,0.3075,0.37900000000000006,0.385171176046176
2,KNN,xgb,True,50,0.79,0.6869220607661822,0.67,0.48569434752267965,0.27,0.392,0.38174014107237786
3,KNN,mutual_info,True,50,0.7975,0.7009063444108762,0.65,0.3836358710376593,0.3,0.37900000000000006,0.37638713369963367
3,KNN,f_classif,True,50,0.7875,0.6956521739130436,0.63,0.4021543985637343,0.2725,0.3605,0.35185821817071816
3,KNN,rf,True,50,0.7725,0.6365880452342487,0.67,0.3131407269338304,0.255,0.35849999999999993,0.31616317016317014
3,KNN,relief,True,50,0.775,0.6174099062037189,0.61,0.16555594528235706,0.29,0.3555,0.3433632703081233
3,KNN,xgb,True,50,0.76,0.6013114754098361,0.67,0.35931614024920305,0.3475,0.37200000000000005,0.3402724116161616
4,KNN,mutual_info,True,50,0.7825,0.6956716100984589,0.65,0.3836358710376593,0.2625,0.402,0.40861280386280385
4,KNN,f_classif,True,50,0.76,0.635127025405081,0.65,0.41651705565529623,0.31,0.41650000000000004,0.4011902056277056
4,KNN,rf,True,50,0.76,0.6150071236346366,0.66,0.18577648766328012,0.3175,0.377,0.3685246142746143
4,KNN,relief,True,50,0.7525,0.5492580659799428,0.65,0.181360201511335,0.2825,0.37900000000000006,0.39348039868628104
4,KNN,xgb,True,50,0.7875,0.6811551056862163,0.66,0.4995539696699375,0.3125,0.395,0.37818107769423553
5,KNN,mutual_info,True,50,0.7475,0.6522415043931875,0.64,0.37662337662337664,0.3025,0.4135000000000001,0.3925780885780886
5,KNN,f_classif,True,50,0.7825,0.6757866914312248,0.58,0.2131782945736434,0.3075,0.39050000000000007,0.41476892953537686
5,KNN,rf,True,50,0.7475,0.5563602708936257,0.66,0.3065512978986403,0.3225,0.38850000000000007,0.4141953324453324
5,KNN,relief,True,50,0.7525,0.5673215141351222,0.67,0.1904064445258147,0.3,0.3895,0.3975248015873016
5,KNN,xgb,True,50,0.755,0.6337128712871286,0.59,0.30865961703343814,0.305,0.43650000000000005,0.3892868867243868
