dataset,fold,method,k,n_available_features,model,acc_test,gps_test
ArtificialDataset2,2,f_classif,6,13,KNN,0.75,0.75
ArtificialDataset2,2,f_classif,7,13,SVM-rbf,0.835,0.8348764044943818
ArtificialDataset2,2,f_classif,7,13,KNN,0.8,0.8000000000000002
ArtificialDataset2,2,f_classif,8,13,SVM-rbf,0.845,0.8444431247958668
ArtificialDataset2,2,f_classif,8,13,KNN,0.79,0.7895738203957382
ArtificialDataset2,2,f_classif,9,13,SVM-rbf,0.86,0.8598533348853451
ArtificialDataset2,2,f_classif,9,13,KNN,0.8,0.7998999499749875
ArtificialDataset2,2,f_classif,10,13,SVM-rbf,0.89,0.8898018910400721
ArtificialDataset2,2,f_classif,10,13,KNN,0.865,0.8648085438916384
ArtificialDataset2,2,f_classif,11,13,SVM-rbf,0.915,0.914979093219644
ArtificialDataset2,2,f_classif,11,13,KNN,0.86,0.8597390493942217
ArtificialDataset2,2,f_classif,12,13,SVM-rbf,0.94,0.9399744572158366
ArtificialDataset2,2,f_classif,12,13,KNN,0.93,0.9299698795180722
ArtificialDataset2,2,f_classif,13,13,SVM-rbf,0.97,0.9699721390981322
ArtificialDataset2,2,f_classif,13,13,KNN,0.955,0.9549422033498468
ArtificialDataset2,2,mutual_info,1,13,SVM-rbf,0.65,0.6499461455608556
ArtificialDataset2,2,mutual_info,1,13,KNN,0.585,0.5848403232012312
ArtificialDataset2,2,mutual_info,2,13,SVM-rbf,0.72,0.7198443579766537
ArtificialDataset2,2,mutual_info,2,13,KNN,0.7,0.6972318339100347
ArtificialDataset2,2,mutual_info,3,13,SVM-rbf,0.81,0.8091517857142856
ArtificialDataset2,2,mutual_info,3,13,KNN,0.755,0.7546018374183278
ArtificialDataset2,2,mutual_info,4,13,SVM-rbf,0.825,0.8245693976123212
ArtificialDataset2,2,mutual_info,4,13,KNN,0.815,0.8148580199539525
ArtificialDataset2,2,mutual_info,5,13,SVM-rbf,0.82,0.8194495412844036
ArtificialDataset2,2,mutual_info,5,13,KNN,0.8,0.7995991983967936
ArtificialDataset2,2,mutual_info,6,13,SVM-rbf,0.875,0.8749678488754252
ArtificialDataset2,2,mutual_info,6,13,KNN,0.865,0.8649023861171368
ArtificialDataset2,2,mutual_info,7,13,SVM-rbf,0.905,0.9047869542346132
ArtificialDataset2,2,mutual_info,7,13,KNN,0.885,0.8844483551417787
