dataset,fold,method,k,n_available_features,model,acc_test,gps_test
sonar,3,rf,32,56,SVM-rbf,0.8571428571428571,0.8536585365853658
sonar,3,rf,32,56,KNN,0.9285714285714286,0.9274643521388717
sonar,3,rf,33,56,SVM-rbf,0.8809523809523809,0.877076411960133
sonar,3,rf,33,56,KNN,0.9047619047619048,0.9037974683544303
sonar,3,rf,34,56,SVM-rbf,0.8809523809523809,0.877076411960133
sonar,3,rf,34,56,KNN,0.8809523809523809,0.8790058862001308
sonar,3,rf,35,56,SVM-rbf,0.8571428571428571,0.8536585365853658
sonar,3,rf,35,56,KNN,0.8809523809523809,0.8790058862001308
sonar,3,rf,36,56,SVM-rbf,0.8333333333333334,0.8304498269896194
sonar,3,rf,36,56,KNN,0.9047619047619048,0.9037974683544303
sonar,3,rf,37,56,SVM-rbf,0.8333333333333334,0.8304498269896194
sonar,3,rf,37,56,KNN,0.9523809523809523,0.9519230769230769
sonar,3,rf,38,56,SVM-rbf,0.8571428571428571,0.8536585365853658
sonar,3,rf,38,56,KNN,0.9285714285714286,0.9281767955801103
sonar,3,rf,39,56,SVM-rbf,0.8809523809523809,0.8790058862001308
sonar,3,rf,39,56,KNN,0.9047619047619048,0.9037974683544303
sonar,3,rf,40,56,SVM-rbf,0.8809523809523809,0.8790058862001308
sonar,3,rf,40,56,KNN,0.9047619047619048,0.9037974683544303
sonar,3,rf,41,56,SVM-rbf,0.8571428571428571,0.8556149732620322
sonar,3,rf,41,56,KNN,0.8571428571428571,0.8567639257294429
sonar,3,rf,42,56,SVM-rbf,0.8333333333333334,0.8304498269896194
sonar,3,rf,42,56,KNN,0.8333333333333334,0.8323066392881588
sonar,3,rf,43,56,SVM-rbf,0.8333333333333334,0.8304498269896194
sonar,3,rf,43,56,KNN,0.8571428571428571,0.8556149732620322
sonar,3,rf,44,56,SVM-rbf,0.8333333333333334,0.8304498269896194
sonar,3,rf,44,56,KNN,0.8571428571428571,0.8556149732620322
sonar,3,rf,45,56,SVM-rbf,0.8333333333333334,0.8304498269896194
sonar,3,rf,45,56,KNN,0.8571428571428571,0.8556149732620322
sonar,3,rf,46,56,SVM-rbf,0.8571428571428571,0.8556149732620322
sonar,3,rf,46,56,KNN,0.8809523809523809,0.877076411960133
sonar,3,rf,47,56,SVM-rbf,0.8809523809523809,0.8802588996763755
sonar,3,rf,47,56,KNN,0.8809523809523809,0.877076411960133
sonar,3,rf,48,56,SVM-rbf,0.8333333333333334,0.8304498269896194
sonar,3,rf,48,56,KNN,0.8571428571428571,0.8536585365853658
sonar,3,rf,49,56,SVM-rbf,0.8333333333333334,0.8304498269896194
sonar,3,rf,49,56,KNN,0.8571428571428571,0.8536585365853658
sonar,3,rf,50,56,SVM-rbf,0.8333333333333334,0.8304498269896194
sonar,3,rf,50,56,KNN,0.8571428571428571,0.8536585365853658
sonar,3,rf,51,56,SVM-rbf,0.8333333333333334,0.8304498269896194
sonar,3,rf,51,56,KNN,0.8809523809523809,0.877076411960133
sonar,3,rf,52,56,SVM-rbf,0.8333333333333334,0.8304498269896194
sonar,3,rf,52,56,KNN,0.8809523809523809,0.877076411960133
sonar,3,rf,53,56,SVM-rbf,0.8333333333333334,0.8304498269896194
sonar,3,rf,53,56,KNN,0.8571428571428571,0.8536585365853658
sonar,3,rf,54,56,SVM-rbf,0.8333333333333334,0.8304498269896194
sonar,3,rf,54,56,KNN,0.8571428571428571,0.8556149732620322
sonar,3,rf,55,56,SVM-rbf,0.8333333333333334,0.8304498269896194
sonar,3,rf,55,56,KNN,0.8809523809523809,0.877076411960133
sonar,3,rf,56,56,SVM-rbf,0.8333333333333334,0.8304498269896194
sonar,3,rf,56,56,KNN,0.8571428571428571,0.8536585365853658
sonar,4,f_classif,1,56,SVM-rbf,0.7317073170731707,0.7236180904522613
sonar,4,f_classif,1,56,KNN,0.6585365853658537,0.6582278481012658
sonar,4,f_classif,2,56,SVM-rbf,0.7560975609756098,0.7512038523274478
sonar,4,f_classif,2,56,KNN,0.7317073170731707,0.728171334431631
sonar,4,f_classif,3,56,SVM-rbf,0.7317073170731707,0.7236180904522613
sonar,4,f_classif,3,56,KNN,0.7560975609756098,0.7543581616481776
sonar,4,f_classif,4,56,SVM-rbf,0.7073170731707317,0.6947368421052632
sonar,4,f_classif,4,56,KNN,0.6829268292682927,0.6784452296819787
sonar,4,f_classif,5,56,SVM-rbf,0.7073170731707317,0.7010309278350516
sonar,4,f_classif,5,56,KNN,0.7317073170731707,0.730831973898858
sonar,4,f_classif,6,56,SVM-rbf,0.7560975609756098,0.7543581616481776
sonar,4,f_classif,6,56,KNN,0.7804878048780488,0.7777777777777778
sonar,4,f_classif,7,56,SVM-rbf,0.7804878048780488,0.7798165137614678
sonar,4,f_classif,7,56,KNN,0.8048780487804879,0.8035714285714286
sonar,4,f_classif,8,56,SVM-rbf,0.7804878048780488,0.7798165137614678
sonar,4,f_classif,8,56,KNN,0.8048780487804879,0.8035714285714286
sonar,4,f_classif,9,56,SVM-rbf,0.7804878048780488,0.7798165137614678
sonar,4,f_classif,9,56,KNN,0.8048780487804879,0.8035714285714286
sonar,4,f_classif,10,56,SVM-rbf,0.7804878048780488,0.7798165137614678
sonar,4,f_classif,10,56,KNN,0.8292682926829268,0.8272859216255443
sonar,4,f_classif,11,56,SVM-rbf,0.7804878048780488,0.7798165137614678
sonar,4,f_classif,11,56,KNN,0.8048780487804879,0.8035714285714286
sonar,4,f_classif,12,56,SVM-rbf,0.7804878048780488,0.7798165137614678
sonar,4,f_classif,12,56,KNN,0.7804878048780488,0.7798165137614678
sonar,4,f_classif,13,56,SVM-rbf,0.7560975609756098,0.7543581616481776
sonar,4,f_classif,13,56,KNN,0.7804878048780488,0.7798165137614678
sonar,4,f_classif,14,56,SVM-rbf,0.7560975609756098,0.7543581616481776
sonar,4,f_classif,14,56,KNN,0.8048780487804879,0.8035714285714286
sonar,4,f_classif,15,56,SVM-rbf,0.7560975609756098,0.7559055118110238
sonar,4,f_classif,15,56,KNN,0.7804878048780488,0.7798165137614678
sonar,4,f_classif,16,56,SVM-rbf,0.7317073170731707,0.730831973898858
sonar,4,f_classif,16,56,KNN,0.7560975609756098,0.7543581616481776
