fold,model,measure,corr_type,n_features,features,acc_train,gps_train,acc_test,gps_test,complexity_all_kDN,complexity_all_N1,complexity_all_Hostility,complexity_sel_kDN,complexity_sel_N1,complexity_sel_Hostility,corr_th
2,SVM-rbf,Hostility,pearson,18,"['p1_polar', 'p1_size', 'p1_flex', 'p1_h_doner', 'p1_h_acceptor', 'p1_pi_doner', 'p1_pi_acceptor', 'p1_polarisable', 'p2_polar', 'p2_size', 'p2_flex', 'p2_h_doner', 'p2_h_acceptor', 'p2_pi_acceptor', 'p3_polar', 'p3_size', 'p3_flex', 'p3_h_acceptor']",0.9661016949152542,0.9648365206662554,0.9333333333333333,0.9278350515463919,,,,0.18983050847457628,0.20536723163841808,0.23728813559322035,0.7
2,KNN,Hostility,pearson,18,"['p1_polar', 'p1_size', 'p1_flex', 'p1_h_doner', 'p1_h_acceptor', 'p1_pi_doner', 'p1_pi_acceptor', 'p1_polarisable', 'p2_polar', 'p2_size', 'p2_flex', 'p2_h_doner', 'p2_h_acceptor', 'p2_pi_acceptor', 'p3_polar', 'p3_size', 'p3_flex', 'p3_h_acceptor']",0.864406779661017,0.8563380281690139,0.8666666666666667,0.8602150537634408,,,,0.18983050847457628,0.20536723163841808,0.23728813559322035,0.7
2,SVM-rbf,Hostility,spearman,14,"['p1_polar', 'p1_size', 'p1_flex', 'p1_h_acceptor', 'p1_pi_doner', 'p1_polarisable', 'p2_polar', 'p2_size', 'p2_flex', 'p2_h_doner', 'p2_h_acceptor', 'p3_polar', 'p3_h_acceptor', 'p3_polarisable']",0.9661016949152542,0.9648365206662554,0.8666666666666667,0.8602150537634408,,,,0.2135593220338983,0.23700564971751414,0.1694915254237288,0.7
2,KNN,Hostility,spearman,14,"['p1_polar', 'p1_size', 'p1_flex', 'p1_h_acceptor', 'p1_pi_doner', 'p1_polarisable', 'p2_polar', 'p2_size', 'p2_flex', 'p2_h_doner', 'p2_h_acceptor', 'p3_polar', 'p3_h_acceptor', 'p3_polarisable']",0.847457627118644,0.8396293656450463,0.8666666666666667,0.8602150537634408,,,,0.2135593220338983,0.23700564971751414,0.1694915254237288,0.7
3,SVM-rbf,ALL,none,27,"['p1_polar', 'p1_size', 'p1_flex', 'p1_h_doner', 'p1_h_acceptor', 'p1_pi_doner', 'p1_pi_acceptor', 'p1_polarisable', 'p1_sigma', 'p2_polar', 'p2_size', 'p2_flex', 'p2_h_doner', 'p2_h_acceptor', 'p2_pi_doner', 'p2_pi_acceptor', 'p2_polarisable', 'p2_sigma', 'p3_polar', 'p3_size', 'p3_flex', 'p3_h_doner', 'p3_h_acceptor', 'p3_pi_doner', 'p3_pi_acceptor', 'p3_polarisable', 'p3_sigma']",0.9661016949152542,0.9648365206662554,0.8666666666666667,0.8602150537634408,0.20677966101694917,0.22372881355932203,0.0847457627118644,,,,0.7
3,KNN,ALL,none,27,"['p1_polar', 'p1_size', 'p1_flex', 'p1_h_doner', 'p1_h_acceptor', 'p1_pi_doner', 'p1_pi_acceptor', 'p1_polarisable', 'p1_sigma', 'p2_polar', 'p2_size', 'p2_flex', 'p2_h_doner', 'p2_h_acceptor', 'p2_pi_doner', 'p2_pi_acceptor', 'p2_polarisable', 'p2_sigma', 'p3_polar', 'p3_size', 'p3_flex', 'p3_h_doner', 'p3_h_acceptor', 'p3_pi_doner', 'p3_pi_acceptor', 'p3_polarisable', 'p3_sigma']",0.8983050847457628,0.8942115768463073,0.8666666666666667,0.8470588235294118,0.20677966101694917,0.22372881355932203,0.0847457627118644,,,,0.7
3,SVM-rbf,kDN,pearson,9,"['p1_polar', 'p1_flex', 'p1_h_doner', 'p1_polarisable', 'p2_polar', 'p2_size', 'p2_flex', 'p2_h_doner', 'p3_polar']",0.9830508474576272,0.9825406381697772,0.8666666666666667,0.8602150537634408,,,,0.24067796610169492,0.19350282485875706,0.1864406779661017,0.7
3,KNN,kDN,pearson,9,"['p1_polar', 'p1_flex', 'p1_h_doner', 'p1_polarisable', 'p2_polar', 'p2_size', 'p2_flex', 'p2_h_doner', 'p3_polar']",0.8813559322033898,0.8705547652916075,0.8,0.7804878048780488,,,,0.24067796610169492,0.19350282485875706,0.1864406779661017,0.7
3,SVM-rbf,kDN,spearman,10,"['p1_polar', 'p1_size', 'p1_flex', 'p1_h_acceptor', 'p1_pi_doner', 'p1_polarisable', 'p2_polar', 'p2_size', 'p2_flex', 'p3_polar']",0.9491525423728814,0.9468354430379746,0.7333333333333333,0.717948717948718,,,,0.2,0.22740112994350278,0.15254237288135594,0.7
3,KNN,kDN,spearman,10,"['p1_polar', 'p1_size', 'p1_flex', 'p1_h_acceptor', 'p1_pi_doner', 'p1_polarisable', 'p2_polar', 'p2_size', 'p2_flex', 'p3_polar']",0.864406779661017,0.8587257617728532,0.8,0.7804878048780488,,,,0.2,0.22740112994350278,0.15254237288135594,0.7
