dataset,subset,model,fold,n_features,acc_train,gps_train,acc_test,gps_test,Hostility,kDN,N1
ArtificialDataset18c,informative,SVM-rbf,4,20,0.815,0.7177026774012358,0.67,0.4317656129529684,0.2675,0.382,0.3524146825396825
ArtificialDataset18c,informative,KNN,0,20,0.7775,0.695537393714732,0.76,0.7169459962756053,0.2875,0.3960000000000001,0.3664087301587301
ArtificialDataset18c,informative,KNN,1,20,0.775,0.6929882477221708,0.66,0.42402464065708423,0.3275,0.40299999999999997,0.3855955086580087
ArtificialDataset18c,informative,KNN,2,20,0.7875,0.723281555204167,0.72,0.6170212765957447,0.2825,0.3990000000000001,0.35962400793650784
ArtificialDataset18c,informative,KNN,3,20,0.805,0.7354651162790697,0.64,0.43749999999999994,0.2775,0.381,0.3771460084033613
ArtificialDataset18c,informative,KNN,4,20,0.7775,0.6878742430564171,0.66,0.4995539696699376,0.2675,0.382,0.3524146825396825
ArtificialDataset18c,informative+redundant,SVM-rbf,0,30,0.79,0.663471778487753,0.72,0.43999999999999995,0.2575,0.402,0.36754761904761907
ArtificialDataset18c,informative+redundant,SVM-rbf,1,30,0.8075,0.7091757387247278,0.71,0.3906481207457828,0.25,0.4075000000000001,0.38984677128427125
ArtificialDataset18c,informative+redundant,SVM-rbf,2,30,0.81,0.712,0.71,0.3906481207457828,0.3375,0.40950000000000003,0.3796785714285714
ArtificialDataset18c,informative+redundant,SVM-rbf,3,30,0.805,0.6974121729073297,0.72,0.47445255474452547,0.245,0.40800000000000014,0.4091428571428571
ArtificialDataset18c,informative+redundant,SVM-rbf,4,30,0.82,0.7262103505843073,0.71,0.5423427428317403,0.27,0.396,0.35751488095238104
ArtificialDataset18c,informative+redundant,KNN,0,30,0.7825,0.7030781476594954,0.61,0.512,0.2575,0.402,0.36754761904761907
ArtificialDataset18c,informative+redundant,KNN,1,30,0.755,0.6678935320256745,0.66,0.4526829268292683,0.25,0.4075000000000001,0.38984677128427125
ArtificialDataset18c,informative+redundant,KNN,2,30,0.76,0.6874571624400274,0.72,0.5882352941176471,0.3375,0.40950000000000003,0.3796785714285714
ArtificialDataset18c,informative+redundant,KNN,3,30,0.7725,0.6853818181818182,0.65,0.44498658209319353,0.245,0.40800000000000014,0.4091428571428571
ArtificialDataset18c,informative+redundant,KNN,4,30,0.7425,0.6502726617964812,0.65,0.4916201117318436,0.27,0.396,0.35751488095238104
ArtificialDataset18c,informative+redundant_nonLinear,SVM-rbf,0,30,0.8025,0.6914024946759962,0.7,0.33460076045627374,0.275,0.41,0.36538095238095236
ArtificialDataset18c,informative+redundant_nonLinear,SVM-rbf,1,30,0.82,0.7288633754305396,0.68,0.1952662721893491,0.2825,0.393,0.3842519841269841
ArtificialDataset18c,informative+redundant_nonLinear,SVM-rbf,2,30,0.8125,0.7119849700464369,0.74,0.4589426321709786,0.3275,0.41200000000000003,0.383327380952381
ArtificialDataset18c,informative+redundant_nonLinear,SVM-rbf,3,30,0.795,0.6690862944162437,0.7,0.33460076045627374,0.255,0.39399999999999996,0.373422619047619
ArtificialDataset18c,informative+redundant_nonLinear,SVM-rbf,4,30,0.8325,0.7507679933868787,0.66,0.3521939953810624,0.265,0.3885,0.36842857142857144
ArtificialDataset18c,informative+redundant_nonLinear,KNN,0,30,0.785,0.7146178559350693,0.7,0.6318373071528752,0.275,0.41,0.36538095238095236
ArtificialDataset18c,informative+redundant_nonLinear,KNN,1,30,0.7775,0.7003107439448241,0.64,0.37662337662337664,0.2825,0.393,0.3842519841269841
ArtificialDataset18c,informative+redundant_nonLinear,KNN,2,30,0.76,0.6828377673448096,0.72,0.6170212765957447,0.3275,0.41200000000000003,0.383327380952381
ArtificialDataset18c,informative+redundant_nonLinear,KNN,3,30,0.78,0.6956232539576959,0.66,0.4995539696699376,0.255,0.39399999999999996,0.373422619047619
ArtificialDataset18c,informative+redundant_nonLinear,KNN,4,30,0.77,0.6717939214232767,0.63,0.40215439856373425,0.265,0.3885,0.36842857142857144
ArtificialDataset18c,informative+noise,SVM-rbf,0,30,0.8125,0.7090420769919427,0.7,0.33460076045627374,0.3025,0.4255,0.3706721611721611
ArtificialDataset18c,informative+noise,SVM-rbf,1,30,0.81,0.703125,0.7,0.20574886535552192,0.2825,0.41400000000000003,0.3838597374847375
ArtificialDataset18c,informative+noise,SVM-rbf,2,30,0.8075,0.6971051381666282,0.72,0.35051546391752575,0.315,0.43450000000000005,0.42678922466422464
