feature,kDN_importances,kDN_importances_norm,count_vars,kDN_removed_count,kDN_fixed_count,fold,model
f6,10.298250000000001,0.016854746317512277,611.0,0.0,151.0,1,KNN
f7,11.613250000000003,0.017179363905325446,676.0,0.0,159.0,1,KNN
f8,16.216,0.024311844077961022,667.0,0.0,174.0,1,KNN
f9,13.670999999999982,0.018301204819277085,747.0,0.0,167.0,1,KNN
f0,3.7924999999999978,0.004862179487179485,780.0,0.0,98.0,2,KNN
f1,0.9265000000000001,0.00935858585858586,99.0,1.0,16.0,2,KNN
f10,-0.02449999999999991,-0.0012894736842105215,19.0,1.0,0.0,2,KNN
f11,-0.012999999999999956,-0.0016249999999999945,8.0,1.0,0.0,2,KNN
f12,,,,,,2,KNN
f13,,,,,,2,KNN
f14,0.09850000000000006,0.0018240740740740752,54.0,1.0,4.0,2,KNN
f15,,,,,,2,KNN
f16,,,,,,2,KNN
f17,,,,,,2,KNN
f2,6.152499999999996,0.008181515957446804,752.0,0.0,168.0,2,KNN
f3,0.27825000000000005,0.0018427152317880798,151.0,1.0,10.0,2,KNN
f4,0.5015000000000001,0.003634057971014493,138.0,1.0,12.0,2,KNN
f5,2.577250000000002,0.004001940993788823,644.0,1.0,91.0,2,KNN
f6,12.185999999999998,0.017408571428571426,700.0,0.0,169.0,2,KNN
f7,9.556499999999996,0.012299227799227794,777.0,0.0,167.0,2,KNN
f8,13.410249999999994,0.016195954106280185,828.0,0.0,168.0,2,KNN
f9,13.82724999999999,0.01745864898989898,792.0,0.0,167.0,2,KNN
f0,0.0020000000000000018,0.0006666666666666673,3.0,1.0,0.0,3,KNN
f1,6.891249999999999,0.009055519053876478,761.0,0.0,164.0,3,KNN
f10,-0.007250000000000145,-0.00048333333333334304,15.0,1.0,0.0,3,KNN
f11,-0.026000000000000023,-0.0018571428571428589,14.0,1.0,0.0,3,KNN
f12,,,,,,3,KNN
f13,,,,,,3,KNN
f14,0.06025,0.006694444444444444,9.0,1.0,1.0,3,KNN
f15,,,,,,3,KNN
f16,,,,,,3,KNN
f17,,,,,,3,KNN
f2,6.918500000000002,0.008026102088167055,862.0,0.0,166.0,3,KNN
f3,-0.012749999999999928,-0.004249999999999976,3.0,1.0,0.0,3,KNN
f4,5.943500000000001,0.007830698287220028,759.0,0.0,143.0,3,KNN
