feature,Hostility_importances,N1_importances,kDN_importances,Hostility_importances_norm,N1_importances_norm,kDN_importances_norm,count_vars,Hostility_removed_count,N1_removed_count,kDN_removed_count,fold,model
f64,0.08500000000000002,-0.009104166666666635,0.015333333333333476,0.0018888888888888894,-0.00020231481481481413,0.00034074074074074394,45.0,1.0,1.0,1.0,1,SVM-rbf
f65,0.004166666666666652,-0.005505952380952306,0.12633333333333324,3.561253561253549e-05,-4.705942205942142e-05,0.001079772079772079,117.0,1.0,1.0,1.0,1,SVM-rbf
f66,0.0037499999999999756,0.01665972222222234,0.008499999999999897,0.00012096774193548308,0.0005374103942652368,0.00027419354838709343,31.0,1.0,1.0,1.0,1,SVM-rbf
f67,,,,,,,,,,,1,SVM-rbf
f68,-0.0004166666666667318,0.009489087301587373,0.005166666666666264,-5.555555555556424e-06,0.00012652116402116497,6.888888888888353e-05,75.0,1.0,1.0,1.0,1,SVM-rbf
f69,0.10416666666666657,0.3383085317460317,0.3338333333333336,0.0005208333333333329,0.0016915426587301586,0.001669166666666668,200.0,1.0,1.0,1.0,1,SVM-rbf
f7,-0.007916666666666683,0.05829761904761871,0.016166666666666885,-0.0001069819819819822,0.0007878056628056583,0.0002184684684684714,74.0,1.0,1.0,1.0,1,SVM-rbf
f70,,,,,,,,,,,1,SVM-rbf
f71,,,,,,,,,,,1,SVM-rbf
f72,-0.012916666666666687,0.2981180555555558,0.1651666666666668,-9.785353535353551e-05,0.0022584701178451198,0.0012512626262626272,132.0,1.0,1.0,1.0,1,SVM-rbf
f73,,,,,,,,,,,1,SVM-rbf
f74,,,,,,,,,,,1,SVM-rbf
f75,,,,,,,,,,,1,SVM-rbf
f76,,,,,,,,,,,1,SVM-rbf
f77,,,,,,,,,,,1,SVM-rbf
f78,,,,,,,,,,,1,SVM-rbf
f79,,,,,,,,,,,1,SVM-rbf
f8,0.26874999999999993,0.32963888888888904,0.7988333333333336,0.0009018456375838924,0.0011061707680835203,0.002680648769574945,298.0,1.0,1.0,0.0,1,SVM-rbf
f80,-0.017500000000000016,-0.03822916666666665,0.25033333333333296,-0.00011437908496732037,-0.00024986383442265783,0.0016361655773420455,153.0,1.0,1.0,0.0,1,SVM-rbf
f81,0.06625000000000009,-0.0055902777777777635,0.06099999999999994,0.0008179012345679023,-6.901577503429338e-05,0.0007530864197530857,81.0,1.0,1.0,1.0,1,SVM-rbf
f82,,,,,,,,,,,1,SVM-rbf
f83,,,,,,,,,,,1,SVM-rbf
f84,2.243333333333333,1.3972430555555553,1.5649166666666667,0.005539094650205761,0.003449982853223593,0.0038639917695473254,405.0,0.0,0.0,0.0,1,SVM-rbf
