feature,kDN_importances,kDN_importances_norm,count_vars,kDN_removed_count,kDN_fixed_count,fold,model
V43,0.11445783132530152,0.0013625932300631134,84.0,1.0,6.0,3,SVM-rbf
V44,0.15180722891566284,0.0022001047668936645,69.0,1.0,2.0,3,SVM-rbf
V45,0.5867469879518072,0.002189354432655997,268.0,1.0,17.0,3,SVM-rbf
V46,0.2325301204819284,0.001306348991471508,178.0,1.0,6.0,3,SVM-rbf
V47,-0.02409638554216864,-0.0007301935012778376,33.0,1.0,0.0,3,SVM-rbf
V48,8.002409638554214,0.008216026322950938,974.0,0.0,196.0,3,SVM-rbf
V49,,,,,,3,SVM-rbf
V5,-0.014457831325301207,-0.004819277108433735,3.0,1.0,0.0,3,SVM-rbf
V50,-0.018072289156626453,-0.009036144578313227,2.0,1.0,0.0,3,SVM-rbf
V51,0.08072289156626503,0.000984425506905671,82.0,1.0,3.0,3,SVM-rbf
V52,0.3867469879518072,0.0012680229113174006,305.0,1.0,15.0,3,SVM-rbf
V53,0.0012048192771083877,5.020080321284948e-05,24.0,1.0,0.0,3,SVM-rbf
V54,1.6653345369377348e-16,5.3720468933475315e-18,31.0,1.0,0.0,3,SVM-rbf
V55,0.10000000000000009,0.0006493506493506499,154.0,1.0,2.0,3,SVM-rbf
V56,-0.04698795180722898,-0.0013052208835341384,36.0,1.0,0.0,3,SVM-rbf
V57,-0.004819277108433745,-0.000963855421686749,5.0,1.0,0.0,3,SVM-rbf
V58,0.05421686746987947,0.0003590521024495329,151.0,1.0,4.0,3,SVM-rbf
V59,-0.015662650602409733,-0.0013052208835341444,12.0,1.0,0.0,3,SVM-rbf
V6,0.019277108433735063,0.00019670518809933738,98.0,1.0,0.0,3,SVM-rbf
V60,-0.013253012048192792,-0.002208835341365465,6.0,1.0,0.0,3,SVM-rbf
V7,-0.020481927710843395,-0.0005535656138065783,37.0,1.0,0.0,3,SVM-rbf
V8,0.07951807228915686,0.0011199728491430544,71.0,1.0,1.0,3,SVM-rbf
V9,8.524096385542174,0.00942931016099798,904.0,0.0,187.0,3,SVM-rbf
V1,0.0239520958083832,0.00033735346208990424,71.0,1.0,1.0,4,SVM-rbf
V10,0.5233532934131737,0.0027690650445141465,189.0,1.0,11.0,4,SVM-rbf
V11,0.32215568862275457,0.00397723072373771,81.0,1.0,9.0,4,SVM-rbf
V12,17.804790419161705,0.01785836551570883,997.0,0.0,204.0,4,SVM-rbf
V13,0.07065868263473049,0.007065868263473049,10.0,1.0,0.0,4,SVM-rbf
V14,-0.03113772455089825,-0.0019461077844311406,16.0,1.0,0.0,4,SVM-rbf
V15,0.2898203592814371,0.0015498414934836209,187.0,1.0,7.0,4,SVM-rbf
V16,,,,,,4,SVM-rbf
V17,-0.004790419161676607,-0.0001774229319139484,27.0,1.0,0.0,4,SVM-rbf
V18,,,,,,4,SVM-rbf
V19,-0.007185628742514993,-0.0017964071856287483,4.0,1.0,0.0,4,SVM-rbf
V2,-0.011976047904191434,-0.0005443658138268834,22.0,1.0,0.0,4,SVM-rbf
V20,5.607185628742516,0.007426735932109293,755.0,0.0,158.0,4,SVM-rbf
V21,,,,,,4,SVM-rbf
V22,0.5353293413173652,0.002091130239520958,256.0,1.0,15.0,4,SVM-rbf
V23,7.555688622754499,0.009915601867131888,762.0,0.0,170.0,4,SVM-rbf
V24,-0.025149700598802394,-0.002095808383233533,12.0,1.0,0.0,4,SVM-rbf
V25,-0.025149700598802338,-0.001397205588822352,18.0,1.0,0.0,4,SVM-rbf
V26,0.014371257485029904,0.0007185628742514952,20.0,1.0,0.0,4,SVM-rbf
V27,0.14491017964071867,0.0009925354769912238,146.0,1.0,6.0,4,SVM-rbf
V28,0.016766467065868207,0.0001822442072376979,92.0,1.0,1.0,4,SVM-rbf
V29,-0.015568862275449069,-0.001197604790419159,13.0,1.0,0.0,4,SVM-rbf
V3,-0.0119760479041916,-0.0009980039920159667,12.0,1.0,0.0,4,SVM-rbf
V30,0.0059880239520957446,0.00010692899914456686,56.0,1.0,0.0,4,SVM-rbf
V31,0.06706586826347286,0.0008709853021230241,77.0,1.0,2.0,4,SVM-rbf
V32,-0.034730538922155746,-0.002170658682634734,16.0,1.0,0.0,4,SVM-rbf
V33,-0.004790419161676662,-0.00036849378166743554,13.0,1.0,0.0,4,SVM-rbf
V34,0.007185628742514993,0.000798403193612777,9.0,1.0,0.0,4,SVM-rbf
V35,0.08742514970059878,0.0007285429141716566,120.0,1.0,4.0,4,SVM-rbf
V36,0.6742514970059884,0.0031360534744464576,215.0,1.0,15.0,4,SVM-rbf
V37,2.431137724550897,0.005054340383681699,481.0,1.0,53.0,4,SVM-rbf
V38,-0.015568862275449125,-0.003892215568862281,4.0,1.0,0.0,4,SVM-rbf
V39,0.0994011976047903,0.001807294501905278,55.0,1.0,2.0,4,SVM-rbf
V4,0.04670658682634715,0.0008492106695699482,55.0,1.0,1.0,4,SVM-rbf
V40,0.38083832335329304,0.001130084045558733,337.0,1.0,13.0,4,SVM-rbf
V41,0.06586826347305408,0.0016889298326424123,39.0,1.0,2.0,4,SVM-rbf
V42,-0.02754491017964078,-0.0034431137724550975,8.0,1.0,0.0,4,SVM-rbf
V43,0.579640718562874,0.002085038555981561,278.0,1.0,24.0,4,SVM-rbf
V44,0.134131736526946,0.0012083940227652792,111.0,1.0,6.0,4,SVM-rbf
V45,0.924550898203593,0.0022884923222861214,404.0,1.0,28.0,4,SVM-rbf
V46,4.663473053892215,0.005639024248962775,827.0,0.0,151.0,4,SVM-rbf
V47,0.026347305389221587,0.0012546335899629327,21.0,1.0,1.0,4,SVM-rbf
V48,1.70059880239521,0.003513633889246302,484.0,1.0,40.0,4,SVM-rbf
V49,,,,,,4,SVM-rbf
V5,-0.015568862275449097,-0.001297405189620758,12.0,1.0,0.0,4,SVM-rbf
V50,-0.022754491017963924,-0.0007110778443113726,32.0,1.0,0.0,4,SVM-rbf
V51,0.03712574850299405,0.0004035407445977614,92.0,1.0,1.0,4,SVM-rbf
V52,-0.03592814371257477,-0.0009212344541685839,39.0,1.0,0.0,4,SVM-rbf
V53,-0.009580838323353269,-0.00015207679878338523,63.0,1.0,0.0,4,SVM-rbf
V54,1.1102230246251565e-16,5.046468293750712e-18,22.0,1.0,0.0,4,SVM-rbf
V55,-0.010778443113772435,-0.0010778443113772435,10.0,1.0,0.0,4,SVM-rbf
V56,-0.011976047904191489,-0.000798403193612766,15.0,1.0,0.0,4,SVM-rbf
V57,-0.028742514970059974,-0.005748502994011995,5.0,1.0,0.0,4,SVM-rbf
V58,-0.0179640718562874,-0.000718562874251496,25.0,1.0,0.0,4,SVM-rbf
V59,-0.015568862275449125,-0.0015568862275449125,10.0,1.0,0.0,4,SVM-rbf
V6,-0.017964071856287567,-0.0007810466024472855,23.0,1.0,0.0,4,SVM-rbf
V60,-0.005988023952095939,-0.00011298158400181016,53.0,1.0,1.0,4,SVM-rbf
V7,-0.009580838323353269,-0.0004354926510615122,22.0,1.0,0.0,4,SVM-rbf
V8,0.09461077844311397,0.0013515825491873423,70.0,1.0,3.0,4,SVM-rbf
V9,8.616766467065869,0.009950076751808163,866.0,0.0,185.0,4,SVM-rbf
V1,0.02874251497005989,0.00029631458732020505,97.0,1.0,2.0,5,SVM-rbf
V10,8.195209580838318,0.011757832971073627,697.0,0.0,146.0,5,SVM-rbf
V11,1.1113772455089823,0.004499503018254989,247.0,1.0,23.0,5,SVM-rbf
V12,10.30299401197606,0.010523997969332032,979.0,0.0,156.0,5,SVM-rbf
V13,0.032335329341317415,0.0003849443969204454,84.0,1.0,0.0,5,SVM-rbf
V14,0.02275449101796395,0.00018059119855526947,126.0,1.0,2.0,5,SVM-rbf
V15,0.023952095808383228,0.0001761183515322296,136.0,1.0,1.0,5,SVM-rbf
V16,,,,,,5,SVM-rbf
V17,11.78682634730539,0.011704892102587279,1007.0,0.0,187.0,5,SVM-rbf
V18,,,,,,5,SVM-rbf
V19,-0.02155688622754487,-0.0008291110087517257,26.0,1.0,0.0,5,SVM-rbf
V2,0.1676646706586826,0.0012328284607256072,136.0,1.0,4.0,5,SVM-rbf
V20,0.09101796407185628,0.001936552427060772,47.0,1.0,3.0,5,SVM-rbf
V21,,,,,,5,SVM-rbf
V22,0.43712574850299396,0.001141320492174919,383.0,1.0,15.0,5,SVM-rbf
V23,0.00359281437125758,5.794861889125129e-05,62.0,1.0,0.0,5,SVM-rbf
V24,-0.02395209580838331,-0.0008554319931565468,28.0,1.0,0.0,5,SVM-rbf
V25,0.02754491017964064,0.0004515559045842728,61.0,1.0,1.0,5,SVM-rbf
V26,0.06826347305389205,0.0004112257412885063,166.0,1.0,4.0,5,SVM-rbf
V27,1.08622754491018,0.002356241962928807,461.0,1.0,33.0,5,SVM-rbf
V28,0.5197604790419164,0.0019613602982713825,265.0,1.0,12.0,5,SVM-rbf
V29,-0.001197604790419221,-1.7356591165495958e-05,69.0,1.0,1.0,5,SVM-rbf
V3,0.013173652694610932,9.615804886577323e-05,137.0,1.0,2.0,5,SVM-rbf
V30,-0.03473053892215569,-0.0005601699826154144,62.0,1.0,0.0,5,SVM-rbf
V31,0.016766467065868318,0.0006209802616988266,27.0,1.0,0.0,5,SVM-rbf
V32,0.19041916167664677,0.0014535813868446319,131.0,1.0,5.0,5,SVM-rbf
V33,-0.031137724550898305,-0.0051896207584830505,6.0,1.0,0.0,5,SVM-rbf
V34,-0.019161676646706594,-0.006387225548902198,3.0,1.0,0.0,5,SVM-rbf
V35,-0.005988023952095856,-0.0002217786648924391,27.0,1.0,0.0,5,SVM-rbf
