fold,measure,n_features,top_features,acc_train,gps_train,acc_test,gps_test,complexity_kDN,removed_features,fixed_features,model
3,kDN_importances_norm,4.333333333333333,"['thal', 'number_of_major_vessels', 'maximum_heart_rate_achieved', 'oldpeak']",0.8518518518518519,0.8492884201904373,0.6481481481481481,0.6323935876174683,0.2490740740740741,"['age', 'serum_cholestoral', 'resting_electrocardiographic_results', 'oldpeak', 'resting_blood_pressure', 'slope', 'sex', 'fasting_blood_sugar', 'exercise_induced_angina']","['thal', 'chest', 'maximum_heart_rate_achieved', 'number_of_major_vessels']",KNN
4,kDN_importances_norm,4.333333333333333,"['chest', 'oldpeak', 'number_of_major_vessels', 'thal']",0.8611111111111112,0.8579285059578368,0.8333333333333334,0.8275862068965518,0.237962962962963,"['thal', 'age', 'resting_electrocardiographic_results', 'resting_blood_pressure', 'slope', 'sex', 'fasting_blood_sugar', 'exercise_induced_angina', 'maximum_heart_rate_achieved']","['chest', 'serum_cholestoral', 'oldpeak', 'number_of_major_vessels']",KNN
5,kDN_importances_norm,4.333333333333333,"['number_of_major_vessels', 'chest', 'slope', 'resting_blood_pressure']",0.875,0.8727272727272727,0.8148148148148148,0.811965811965812,0.24351851851851855,"['thal', 'age', 'serum_cholestoral', 'resting_electrocardiographic_results', 'oldpeak', 'sex', 'fasting_blood_sugar', 'maximum_heart_rate_achieved']","['chest', 'exercise_induced_angina', 'slope', 'resting_blood_pressure', 'number_of_major_vessels']",KNN
1,kDN_importances_norm,4.333333333333333,"['thal', 'number_of_major_vessels', 'chest', 'sex']",0.8194444444444444,0.8173374613003096,0.8703703703703703,0.8660968660968661,0.27037037037037037,"['age', 'chest', 'serum_cholestoral', 'resting_electrocardiographic_results', 'oldpeak', 'resting_blood_pressure', 'slope', 'fasting_blood_sugar', 'exercise_induced_angina', 'maximum_heart_rate_achieved']","['thal', 'sex', 'number_of_major_vessels']",NaiveBayes
2,kDN_importances_norm,4.333333333333333,"['number_of_major_vessels', 'thal', 'sex', 'oldpeak']",0.7916666666666666,0.7907090597546713,0.7962962962962963,0.7940792337831953,0.2518518518518519,"['chest', 'age', 'serum_cholestoral', 'resting_electrocardiographic_results', 'oldpeak', 'resting_blood_pressure', 'slope', 'fasting_blood_sugar', 'exercise_induced_angina', 'maximum_heart_rate_achieved']","['thal', 'sex', 'number_of_major_vessels']",NaiveBayes
3,kDN_importances_norm,4.333333333333333,"['thal', 'number_of_major_vessels', 'maximum_heart_rate_achieved', 'oldpeak']",0.8287037037037037,0.8263275206503211,0.7962962962962963,0.7889335118250781,0.2490740740740741,"['age', 'serum_cholestoral', 'resting_electrocardiographic_results', 'oldpeak', 'resting_blood_pressure', 'slope', 'sex', 'fasting_blood_sugar', 'exercise_induced_angina']","['thal', 'chest', 'maximum_heart_rate_achieved', 'number_of_major_vessels']",NaiveBayes
4,kDN_importances_norm,4.333333333333333,"['chest', 'oldpeak', 'number_of_major_vessels', 'thal']",0.8379629629629629,0.8353305086948611,0.7962962962962963,0.7919049714034316,0.237962962962963,"['thal', 'age', 'resting_electrocardiographic_results', 'resting_blood_pressure', 'slope', 'sex', 'fasting_blood_sugar', 'exercise_induced_angina', 'maximum_heart_rate_achieved']","['chest', 'serum_cholestoral', 'oldpeak', 'number_of_major_vessels']",NaiveBayes
5,kDN_importances_norm,4.333333333333333,"['number_of_major_vessels', 'chest', 'slope', 'resting_blood_pressure']",0.7777777777777778,0.7685684766387325,0.7407407407407407,0.732824427480916,0.24351851851851855,"['thal', 'age', 'serum_cholestoral', 'resting_electrocardiographic_results', 'oldpeak', 'sex', 'fasting_blood_sugar', 'maximum_heart_rate_achieved']","['chest', 'exercise_induced_angina', 'slope', 'resting_blood_pressure', 'number_of_major_vessels']",NaiveBayes
1,kDN_importances_norm,4.333333333333333,"['thal', 'number_of_major_vessels', 'chest', 'sex']",0.8657407407407407,0.8620207108872094,0.8703703703703703,0.8638808440215142,0.27037037037037037,"['age', 'chest', 'serum_cholestoral', 'resting_electrocardiographic_results', 'oldpeak', 'resting_blood_pressure', 'slope', 'fasting_blood_sugar', 'exercise_induced_angina', 'maximum_heart_rate_achieved']","['thal', 'sex', 'number_of_major_vessels']",DecisionTree
2,kDN_importances_norm,4.333333333333333,"['number_of_major_vessels', 'thal', 'sex', 'oldpeak']",0.9120370370370371,0.9091129835126144,0.7777777777777778,0.7675276752767528,0.2518518518518519,"['chest', 'age', 'serum_cholestoral', 'resting_electrocardiographic_results', 'oldpeak', 'resting_blood_pressure', 'slope', 'fasting_blood_sugar', 'exercise_induced_angina', 'maximum_heart_rate_achieved']","['thal', 'sex', 'number_of_major_vessels']",DecisionTree
3,kDN_importances_norm,4.333333333333333,"['thal', 'number_of_major_vessels', 'maximum_heart_rate_achieved', 'oldpeak']",0.9814814814814815,0.9811589050835406,0.6296296296296297,0.5696202531645571,0.2490740740740741,"['age', 'serum_cholestoral', 'resting_electrocardiographic_results', 'oldpeak', 'resting_blood_pressure', 'slope', 'sex', 'fasting_blood_sugar', 'exercise_induced_angina']","['thal', 'chest', 'maximum_heart_rate_achieved', 'number_of_major_vessels']",DecisionTree
4,kDN_importances_norm,4.333333333333333,"['chest', 'oldpeak', 'number_of_major_vessels', 'thal']",0.9444444444444444,0.9431226765799257,0.7592592592592593,0.7393643031784841,0.237962962962963,"['thal', 'age', 'resting_electrocardiographic_results', 'resting_blood_pressure', 'slope', 'sex', 'fasting_blood_sugar', 'exercise_induced_angina', 'maximum_heart_rate_achieved']","['chest', 'serum_cholestoral', 'oldpeak', 'number_of_major_vessels']",DecisionTree
5,kDN_importances_norm,4.333333333333333,"['number_of_major_vessels', 'chest', 'slope', 'resting_blood_pressure']",0.9444444444444444,0.9429477020602218,0.7222222222222222,0.7210300429184548,0.24351851851851855,"['thal', 'age', 'serum_cholestoral', 'resting_electrocardiographic_results', 'oldpeak', 'sex', 'fasting_blood_sugar', 'maximum_heart_rate_achieved']","['chest', 'exercise_induced_angina', 'slope', 'resting_blood_pressure', 'number_of_major_vessels']",DecisionTree
1,kDN_importances_norm,4.333333333333333,"['thal', 'number_of_major_vessels', 'chest', 'sex']",0.8657407407407407,0.8632730756624561,0.8518518518518519,0.8479338842975207,0.27037037037037037,"['age', 'chest', 'serum_cholestoral', 'resting_electrocardiographic_results', 'oldpeak', 'resting_blood_pressure', 'slope', 'fasting_blood_sugar', 'exercise_induced_angina', 'maximum_heart_rate_achieved']","['thal', 'sex', 'number_of_major_vessels']",XGBoost
2,kDN_importances_norm,4.333333333333333,"['number_of_major_vessels', 'thal', 'sex', 'oldpeak']",0.9074074074074074,0.9059049447911667,0.7592592592592593,0.753810623556582,0.2518518518518519,"['chest', 'age', 'serum_cholestoral', 'resting_electrocardiographic_results', 'oldpeak', 'resting_blood_pressure', 'slope', 'fasting_blood_sugar', 'exercise_induced_angina', 'maximum_heart_rate_achieved']","['thal', 'sex', 'number_of_major_vessels']",XGBoost
3,kDN_importances_norm,4.333333333333333,"['thal', 'number_of_major_vessels', 'maximum_heart_rate_achieved', 'oldpeak']",0.9814814814814815,0.9812040074474687,0.6666666666666666,0.6603773584905661,0.2490740740740741,"['age', 'serum_cholestoral', 'resting_electrocardiographic_results', 'oldpeak', 'resting_blood_pressure', 'slope', 'sex', 'fasting_blood_sugar', 'exercise_induced_angina']","['thal', 'chest', 'maximum_heart_rate_achieved', 'number_of_major_vessels']",XGBoost
4,kDN_importances_norm,4.333333333333333,"['chest', 'oldpeak', 'number_of_major_vessels', 'thal']",0.9351851851851852,0.933627487795719,0.7592592592592593,0.7453416149068322,0.237962962962963,"['thal', 'age', 'resting_electrocardiographic_results', 'resting_blood_pressure', 'slope', 'sex', 'fasting_blood_sugar', 'exercise_induced_angina', 'maximum_heart_rate_achieved']","['chest', 'serum_cholestoral', 'oldpeak', 'number_of_major_vessels']",XGBoost
5,kDN_importances_norm,4.333333333333333,"['number_of_major_vessels', 'chest', 'slope', 'resting_blood_pressure']",0.9351851851851852,0.9339992531740106,0.7222222222222222,0.7210300429184548,0.24351851851851855,"['thal', 'age', 'serum_cholestoral', 'resting_electrocardiographic_results', 'oldpeak', 'sex', 'fasting_blood_sugar', 'maximum_heart_rate_achieved']","['chest', 'exercise_induced_angina', 'slope', 'resting_blood_pressure', 'number_of_major_vessels']",XGBoost
