fold,measure,n_features,top_features,acc_train,gps_train,acc_test,gps_test,complexity_Hostility,complexity_N1,complexity_kDN,model
2,kDN_importances_norm,10,"['f7', 'f1', 'f9', 'f8', 'f5', 'f0', 'f6', 'f4', 'f2', 'f14']",0.95,0.9499986841758994,0.945,0.9449286111626183,0.0775,0.10629761904761903,0.1325,KNN
3,Hostility_importances_norm,10,"['f6', 'f8', 'f0', 'f2', 'f9', 'f14', 'f7', 'f3', 'f10', 'f11']",0.94,0.9399600798403193,0.885,0.8846055727203151,0.13125,0.14939880952380952,0.18600000000000003,KNN
3,N1_importances_norm,10,"['f9', 'f8', 'f2', 'f4', 'f0', 'f14', 'f1', 'f7', 'f10', 'f5']",0.9225,0.9224915980052039,0.875,0.8749106504646176,0.14875,0.12872916666666664,0.188,KNN
3,kDN_importances_norm,10,"['f9', 'f2', 'f8', 'f1', 'f7', 'f6', 'f14', 'f5', 'f3', 'f4']",0.96,0.96,0.94,0.9399744572158366,0.1,0.106,0.13975,KNN
4,Hostility_importances_norm,10,"['f14', 'f6', 'f2', 'f10', 'f8', 'f4', 'f9', 'f1', 'f7', 'f0']",0.955,0.955,0.915,0.9149419002050583,0.10375,0.11896130952380951,0.15600000000000003,KNN
4,N1_importances_norm,10,"['f8', 'f1', 'f9', 'f2', 'f4', 'f14', 'f0', 'f7', 'f3', 'f6']",0.9625,0.9624978083134729,0.94,0.9399424981365136,0.08125,0.09783333333333331,0.12875,KNN
4,kDN_importances_norm,10,"['f7', 'f6', 'f8', 'f2', 'f9', 'f3', 'f0', 'f5', 'f14', 'f11']",0.95875,0.9587467056528308,0.945,0.9449869016432484,0.10625,0.1314419642857143,0.17049999999999998,KNN
5,Hostility_importances_norm,10,"['f5', 'f11', 'f9', 'f14', 'f6', 'f7', 'f8', 'f2', 'f0', 'f1']",0.95,0.9499601656581884,0.885,0.8849707552767653,0.10375,0.13710714285714284,0.15525000000000003,KNN
5,N1_importances_norm,10,"['f8', 'f1', 'f9', 'f0', 'f6', 'f14', 'f3', 'f2', 'f4', 'f7']",0.95625,0.9562464968600427,0.965,0.9649990932407574,0.09375,0.1059077380952381,0.13425,KNN
5,kDN_importances_norm,10,"['f8', 'f9', 'f7', 'f2', 'f6', 'f3', 'f5', 'f10', 'f14', 'f0']",0.94,0.9399804457569289,0.9,0.8999555357936861,0.1225,0.13724999999999998,0.16899999999999998,KNN
1,Hostility_importances_norm,10,"['f8', 'f7', 'f14', 'f2', 'f1', 'f9', 'f5', 'f4', 'f6', 'f0']",0.8325,0.8324886816676802,0.79,0.7897604866303385,0.06625,0.09214583333333333,0.11725000000000002,NaiveBayes
1,N1_importances_norm,10,"['f8', 'f2', 'f9', 'f6', 'f14', 'f3', 'f10', 'f0', 'f5', 'f4']",0.8225,0.8224986512055564,0.785,0.7849931526481735,0.14625,0.14239583333333333,0.18625,NaiveBayes
1,kDN_importances_norm,10,"['f7', 'f8', 'f9', 'f4', 'f6', 'f2', 'f14', 'f1', 'f5', 'f0']",0.8325,0.8324886816676802,0.79,0.7897604866303385,0.06625,0.09214583333333333,0.11725000000000002,NaiveBayes
