feature,level,Hostility,N1,kDN
f29,0,0.5991666666666666,0.6033333333333334,0.6040000000000001
f29,1,0.21888888888888888,0.4025,0.4078888888888889
f29,dataset,0.371,0.48283333333333334,0.48633333333333334
f3,0,0.5966666666666667,0.5708333333333333,0.5716666666666667
f3,1,0.20666666666666667,0.38055555555555554,0.3844444444444444
f3,dataset,0.3626666666666667,0.45666666666666667,0.4593333333333333
f30,0,0.5791666666666667,0.6066666666666667,0.5931666666666667
f30,1,0.2338888888888889,0.4038888888888889,0.4004444444444445
f30,dataset,0.372,0.485,0.4775333333333333
f31,0,0.595,0.5991666666666666,0.5978333333333333
f31,1,0.23055555555555557,0.39944444444444444,0.4076666666666667
f31,dataset,0.37633333333333335,0.47933333333333333,0.48373333333333335
f32,0,0.6025,0.5991666666666666,0.6086666666666667
f32,1,0.23666666666666666,0.4002777777777778,0.4057777777777778
f32,dataset,0.383,0.47983333333333333,0.4869333333333334
f33,0,0.6116666666666667,0.5925,0.5963333333333334
f33,1,0.23944444444444443,0.3947222222222222,0.394
f33,dataset,0.3883333333333333,0.47383333333333333,0.4749333333333334
f34,0,0.57,0.6241666666666666,0.6068333333333333
f34,1,0.2477777777777778,0.41638888888888886,0.4043333333333334
f34,dataset,0.37666666666666665,0.4995,0.48533333333333334
f35,0,0.585,0.6129166666666667,0.6043333333333334
f35,1,0.2561111111111111,0.4086111111111111,0.3993333333333334
f35,dataset,0.38766666666666666,0.49033333333333334,0.48133333333333334
f36,0,0.57,0.5908333333333333,0.593
f36,1,0.23055555555555557,0.39361111111111113,0.39866666666666667
f36,dataset,0.36633333333333334,0.4725,0.4764000000000001
f37,0,0.6125,0.6104166666666667,0.615
f37,1,0.23777777777777778,0.40694444444444444,0.4037777777777778
f37,dataset,0.38766666666666666,0.48833333333333334,0.4882666666666666
f38,0,0.6233333333333333,0.6125,0.6044999999999999
f38,1,0.26,0.4083333333333333,0.4083333333333333
f38,dataset,0.4053333333333333,0.49,0.48679999999999995
f39,0,0.5916666666666667,0.6108333333333333,0.6094999999999999
f39,1,0.21833333333333332,0.4072222222222222,0.40311111111111114
f39,dataset,0.36766666666666664,0.4886666666666667,0.4856666666666667
f4,0,0.5408333333333334,0.5477777777777778,0.5425
f4,1,0.19666666666666666,0.3651851851851852,0.36144444444444446
f4,dataset,0.3343333333333333,0.43822222222222224,0.4338666666666666
f40,0,0.5966666666666667,0.5645833333333333,0.5781666666666667
f40,1,0.21777777777777776,0.3761111111111111,0.38
